selected_num:88
selected decision variable:cluster0:[1,2,3,4,5,6,7,8,9,10],cluster1:[1,2,3,4,5,6,7,8,9,10],cluster2:[1,2,3,4,5,6,7,8,9,10],cluster3:[1,2,3,4,5,6,7,8,9,10],cluster4:[1,2,3,4,5,6,7,8,9,10],cluster5:[1,2,3,4,5,6,7,8,9,10],cluster6:[1,2,3,4,5,6,7,8,9,10],cluster7:[1,2,3,4,5,6,7,8,9,10],cluster8:[1,2,3,4,5,6,7,8,9,10],cluster9:[1,2,3,4,5,6,7,8,9,10],avg_reward12:[1,2,3],avg_reward15:[1,2,3],avg_reward37:[1,2,3],avg_reward38:[1,2,3],avg_reward4:[1,2,3],avg_reward44:[1,2,3],avg_reward49:[1,2,3],avg_reward7:[1,2,3],reward12:[1],reward15:[1],reward37:[1],reward38:[1],reward4:[1],reward44:[1],reward49:[1],reward7:[1]
Formulation_explanation:The objective is to improve the average passenger capacity of vehicles by maximizing the allocation of vehicles with varying levels of state of charge (SOC) to demand regions. This is achieved by summing up the allocation decisions weighted by a factor related to both the demand and supply attributes. This formulation ensures that vehicles are allocated efficiently to match the demand, thereby enhancing the passenger capacity of the system. The factor (k+1) is used to weigh the importance of the SOC, with higher SOC levels being more preferred due to their longer operational range. Additionally, by incorporating the demand average, the allocation can be tuned to regions with higher demand, improving overall efficiency.
temp_text:model.setObjective(gp.quicksum((k+1) * model.getVarByName(f'cluster{i}_cluster{j}_{k}') * demand_avg[j] for i in S for j in D for k in K), GRB.MAXIMIZE)
LEO_optimize_time:5.089767217636108
LEO_result:[2881.0303159304726, -538149.3699999992]
base_optimize_time:131.32973504066467
base_result:[2898.777740648512, -521965.71550307545]
Optimization gap 1: 0.61%
Optimization gap 2: 3.10%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 0.0
