selected_num:27
selected decision variable:cluster0:[1,2,3,4,5,6,7,8,9],cluster1:[10,11,12,13,14,15,16,17,18],cluster2:[19,20,21,22,23,24,25,26,27],cluster3:[28,29,30,31,32,33,34,35,36],avg_reward12:[1,2,3],avg_reward15:[1,2,3],reward37:[1,2,3]
Formulation_explanation:The goal of this objective function is to minimize the scheduled vehicle response time by factoring in both the allocation of vehicles from supply nodes to demand nodes and the distance between these nodes. By minimizing the product of the decision variable `cluster{i}_cluster{j}_{k}` (which represents the allocation of vehicles with a specific state of charge from supply node `i` to demand node `j`) and the distance `d[i][j]`, the model effectively reduces the overall response time required for vehicles to reach demand regions. This objective is sensible as it directly targets the reduction of transit time, thereby improving the efficiency of vehicle deployment.
temp_text:model.setObjective(gp.quicksum(model.getVarByName(f'cluster{i}_cluster{j}_{k}') * d[i][j] for i in S for j in D for k in K), GRB.MINIMIZE)
LEO_optimize_time:88.36832809448242
LEO_result:[2886.5262751920795, 11746.272223602478]
base_optimize_time:178.17738604545593
base_result:[2898.850337759408, 11889.317344808824]
Optimization gap 1: 0.43%
Optimization gap 2: 1.20%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = -0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = -0.0
cluster0_cluster37_2 = -0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 1.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = 1.0
cluster0_cluster44_1 = 2.0
cluster0_cluster44_2 = 4.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = -0.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = -0.0
cluster1_cluster4_1 = 4.0
cluster1_cluster4_2 = -0.0
cluster1_cluster7_0 = -0.0
cluster1_cluster7_1 = 4.0
cluster1_cluster7_2 = 5.0
cluster1_cluster12_0 = -0.0
cluster1_cluster12_1 = 12.0
cluster1_cluster12_2 = 0.0
cluster1_cluster15_0 = 0.0
cluster1_cluster15_1 = 0.0
cluster1_cluster15_2 = 2.0
cluster1_cluster37_0 = 0.0
cluster1_cluster37_1 = 0.0
cluster1_cluster37_2 = 5.0
cluster1_cluster38_0 = 0.0
cluster1_cluster38_1 = 3.0
cluster1_cluster38_2 = 1.0
cluster1_cluster44_0 = 13.0
cluster1_cluster44_1 = 0.0
cluster1_cluster44_2 = 25.0
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = 3.0
cluster1_cluster49_2 = 2.0
cluster2_cluster4_0 = 0.0
cluster2_cluster4_1 = -0.0
cluster2_cluster4_2 = 16.00000355865136
cluster2_cluster7_0 = 0.0
cluster2_cluster7_1 = 30.0
cluster2_cluster7_2 = 80.0
cluster2_cluster12_0 = 0.0
cluster2_cluster12_1 = 13.0
cluster2_cluster12_2 = 101.99999644301533
cluster2_cluster15_0 = 0.0
cluster2_cluster15_1 = 96.0
cluster2_cluster15_2 = 2.0
cluster2_cluster37_0 = 0.0
cluster2_cluster37_1 = -0.0
cluster2_cluster37_2 = 4.0
cluster2_cluster38_0 = 0.0
cluster2_cluster38_1 = -0.0
cluster2_cluster38_2 = 61.0
cluster2_cluster44_0 = 0.0
cluster2_cluster44_1 = 11.0
cluster2_cluster44_2 = 5.0
cluster2_cluster49_0 = 0.0
cluster2_cluster49_1 = 13.0
cluster2_cluster49_2 = 2.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = -0.0
cluster3_cluster4_2 = 1.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = -0.0
cluster3_cluster7_2 = -0.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = -0.0
cluster3_cluster12_2 = 0.0
cluster3_cluster15_0 = 1.0
cluster3_cluster15_1 = 2.0
cluster3_cluster15_2 = 2.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = -0.0
cluster3_cluster37_2 = -0.0
cluster3_cluster38_0 = 0.0
cluster3_cluster38_1 = -0.0
cluster3_cluster38_2 = -0.0
cluster3_cluster44_0 = 0.0
cluster3_cluster44_1 = -0.0
cluster3_cluster44_2 = -0.0
cluster3_cluster49_0 = 0.0
cluster3_cluster49_1 = -0.0
cluster3_cluster49_2 = 1.0
cluster5_cluster4_0 = 0.0
cluster5_cluster4_1 = -0.0
cluster5_cluster4_2 = -0.0
cluster5_cluster7_0 = -0.0
cluster5_cluster7_1 = 1.0
cluster5_cluster7_2 = 2.0
cluster5_cluster12_0 = -0.0
cluster5_cluster12_1 = 1.0
cluster5_cluster12_2 = -0.0
cluster5_cluster15_0 = 4.0
cluster5_cluster15_1 = 6.0
cluster5_cluster15_2 = 3.0
cluster5_cluster37_0 = -0.0
cluster5_cluster37_1 = 1.0
cluster5_cluster37_2 = -0.0
cluster5_cluster38_0 = 0.0
cluster5_cluster38_1 = -0.0
cluster5_cluster38_2 = 0.0
cluster5_cluster44_0 = -0.0
cluster5_cluster44_1 = 1.0
cluster5_cluster44_2 = -0.0
cluster5_cluster49_0 = 0.0
cluster5_cluster49_1 = -0.0
cluster5_cluster49_2 = 1.0
cluster6_cluster4_0 = -0.0
cluster6_cluster4_1 = 0.0
cluster6_cluster4_2 = 0.0
cluster6_cluster7_0 = -0.0
cluster6_cluster7_1 = -0.0
cluster6_cluster7_2 = 3.0
cluster6_cluster12_0 = -0.0
cluster6_cluster12_1 = -0.0
cluster6_cluster12_2 = 0.0
cluster6_cluster15_0 = -0.0
cluster6_cluster15_1 = -0.0
cluster6_cluster15_2 = -0.0
cluster6_cluster37_0 = -0.0
cluster6_cluster37_1 = -0.0
cluster6_cluster37_2 = 0.0
cluster6_cluster38_0 = -0.0
cluster6_cluster38_1 = 1.0
cluster6_cluster38_2 = 0.0
cluster6_cluster44_0 = 2.0
cluster6_cluster44_1 = 4.0
cluster6_cluster44_2 = 0.0
cluster6_cluster49_0 = -0.0
cluster6_cluster49_1 = 0.0
cluster6_cluster49_2 = -0.0
cluster8_cluster4_0 = 0.0
cluster8_cluster4_1 = -0.0
cluster8_cluster4_2 = -0.0
cluster8_cluster7_0 = 0.0
cluster8_cluster7_1 = 1.0
cluster8_cluster7_2 = 1.0
cluster8_cluster12_0 = 0.0
cluster8_cluster12_1 = -0.0
cluster8_cluster12_2 = 0.0
cluster8_cluster15_0 = 0.0
cluster8_cluster15_1 = -0.0
cluster8_cluster15_2 = 2.0
cluster8_cluster37_0 = 0.0
cluster8_cluster37_1 = -0.0
cluster8_cluster37_2 = -0.0
cluster8_cluster38_0 = 0.0
cluster8_cluster38_1 = 1.0
cluster8_cluster38_2 = -0.0
cluster8_cluster44_0 = 1.0
cluster8_cluster44_1 = 2.0
cluster8_cluster44_2 = 1.0
cluster8_cluster49_0 = 0.0
cluster8_cluster49_1 = -0.0
cluster8_cluster49_2 = -0.0
cluster9_cluster4_0 = 0.0
cluster9_cluster4_1 = -0.0
cluster9_cluster4_2 = -0.0
cluster9_cluster7_0 = 0.0
cluster9_cluster7_1 = 1.0
cluster9_cluster7_2 = -0.0
cluster9_cluster12_0 = 1.0
cluster9_cluster12_1 = 2.0
cluster9_cluster12_2 = 2.0
cluster9_cluster15_0 = 0.0
cluster9_cluster15_1 = -0.0
cluster9_cluster15_2 = -0.0
cluster9_cluster37_0 = 0.0
cluster9_cluster37_1 = -0.0
cluster9_cluster37_2 = -0.0
cluster9_cluster38_0 = -0.0
cluster9_cluster38_1 = 1.0
cluster9_cluster38_2 = -0.0
cluster9_cluster44_0 = 0.0
cluster9_cluster44_1 = 0.0
cluster9_cluster44_2 = -0.0
cluster9_cluster49_0 = 0.0
cluster9_cluster49_1 = 0.0
cluster9_cluster49_2 = -0.0
cluster10_cluster4_0 = 0.0
cluster10_cluster4_1 = -0.0
cluster10_cluster4_2 = 0.0
cluster10_cluster7_0 = 0.0
cluster10_cluster7_1 = -0.0
cluster10_cluster7_2 = 1.0
cluster10_cluster12_0 = 0.0
cluster10_cluster12_1 = -0.0
cluster10_cluster12_2 = -0.0
cluster10_cluster15_0 = 0.0
cluster10_cluster15_1 = 1.0
cluster10_cluster15_2 = 4.0
cluster10_cluster37_0 = 0.0
cluster10_cluster37_1 = -0.0
cluster10_cluster37_2 = -0.0
cluster10_cluster38_0 = 0.0
cluster10_cluster38_1 = -0.0
cluster10_cluster38_2 = 0.0
cluster10_cluster44_0 = 0.0
cluster10_cluster44_1 = -0.0
cluster10_cluster44_2 = -0.0
cluster10_cluster49_0 = 0.0
cluster10_cluster49_1 = 1.0
cluster10_cluster49_2 = 0.0
cluster11_cluster4_0 = -0.0
cluster11_cluster4_1 = -0.0
cluster11_cluster4_2 = -0.0
cluster11_cluster7_0 = -0.0
cluster11_cluster7_1 = -0.0
cluster11_cluster7_2 = -0.0
