profit,cluster36_cluster4_0,cluster36_cluster4_1,cluster36_cluster4_2,cluster36_cluster7_0,cluster36_cluster7_1,cluster36_cluster7_2,cluster36_cluster12_0,cluster36_cluster12_1,cluster36_cluster12_2,cluster36_cluster15_0,cluster36_cluster15_1,cluster36_cluster15_2,cluster36_cluster37_0,cluster36_cluster37_1,cluster36_cluster37_2,cluster36_cluster38_0,cluster36_cluster38_1,cluster36_cluster38_2,cluster36_cluster44_0,cluster36_cluster44_1,cluster36_cluster44_2,cluster36_cluster49_0,cluster36_cluster49_1,cluster36_cluster49_2
2517.896471253698,4.0,1.0,0.0,1.0,5.0,8.0,3.0,-0.0,0.0,0.0,2.0,6.0,2.0,0.0,-0.0,2.0,-0.0,6.0,1.0,0.0,12.0,0.0,10.0,4.0
2530.5885891769244,0.0,5.0,-0.0,0.0,4.0,12.0,0.0,0.0,-0.0,0.0,2.0,6.0,0.0,-0.0,2.0,0.0,-0.0,1.0,0.0,17.0,4.0,0.0,2.0,5.0
2492.2737260502718,3.0,1.0,-0.0,0.0,5.0,8.0,3.0,0.0,0.0,0.0,3.0,6.0,2.0,-0.0,-0.0,2.0,0.0,24.0,-0.0,13.0,21.0,-0.0,10.0,0.0
2516.690559489444,4.0,0.0,-0.0,0.0,7.0,8.0,0.0,2.0,-0.0,0.0,2.0,6.0,2.0,0.0,2.0,5.0,0.0,-0.0,0.0,-0.0,4.0,2.0,2.0,11.0
2443.0991999602265,0.0,-0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,-0.0,1.0,0.0,0.0,6.0,0.0,-0.0,6.0,0.0,17.0,12.0,0.0,10.0,5.0
2518.526991662106,4.0,7.0,0.0,0.0,5.0,8.0,-0.0,-0.0,-0.0,0.0,2.0,6.0,2.0,-0.0,1.0,2.0,-0.0,13.0,1.0,-0.0,4.0,2.0,2.0,10.0
2484.778926888346,2.0,-0.0,0.0,-0.0,5.0,8.0,3.0,2.0,-0.0,0.0,0.0,6.0,2.0,8.0,-0.0,2.0,-0.0,6.0,-0.0,4.0,12.0,-0.0,10.0,4.0
2439.3651318183256,0.0,5.0,-0.0,0.0,4.0,-0.0,0.0,0.0,-0.0,0.0,2.0,6.0,0.0,-0.0,3.0,0.0,-0.0,13.0,0.0,9.0,4.0,0.0,-0.0,9.0
2515.742840365699,4.0,1.0,-0.0,-0.0,7.0,-0.0,-0.0,2.0,-0.0,-0.0,2.0,6.0,4.0,0.0,2.0,5.0,-0.0,24.0,1.0,17.0,5.0,2.0,10.0,5.0
2444.6874447665823,2.0,-0.0,-0.0,-0.0,4.0,5.0,0.0,-0.0,-0.0,-0.0,-0.0,6.0,2.0,-0.0,2.0,5.0,0.0,6.0,1.0,17.0,4.0,2.0,2.0,5.0
2478.7805243788903,4.0,5.0,-0.0,1.0,4.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.0,-0.0,-0.0,-0.0,2.0,2.0,-0.0,1.0,1.0,3.0,2.0,3.0,-0.0,9.0
2501.365617677145,4.0,1.0,0.0,0.0,4.0,8.0,-0.0,0.0,-0.0,-0.0,4.0,2.0,2.0,-0.0,3.0,2.0,-0.0,6.0,-0.0,0.0,4.0,2.0,20.0,5.0
2449.8093034027333,4.0,-0.0,-0.0,1.0,4.0,5.0,-0.0,0.0,-0.0,-0.0,-0.0,6.0,2.0,6.0,2.0,2.0,0.0,6.0,0.0,0.0,4.0,2.0,10.0,5.0
2417.9583586503445,0.0,-0.0,-0.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,-0.0,6.0,0.0,-0.0,3.0,0.0,4.0,6.0,0.0,-0.0,4.0,0.0,10.0,5.0
