profit,cluster36_cluster4_0,cluster36_cluster4_1,cluster36_cluster4_2,cluster36_cluster7_0,cluster36_cluster7_1,cluster36_cluster7_2,cluster36_cluster12_0,cluster36_cluster12_1,cluster36_cluster12_2,cluster36_cluster15_0,cluster36_cluster15_1,cluster36_cluster15_2,cluster36_cluster37_0,cluster36_cluster37_1,cluster36_cluster37_2,cluster36_cluster38_0,cluster36_cluster38_1,cluster36_cluster38_2,cluster36_cluster44_0,cluster36_cluster44_1,cluster36_cluster44_2,cluster36_cluster49_0,cluster36_cluster49_1,cluster36_cluster49_2
2398.8327987131997,-0.0,-0.0,2.0,-0.0,3.0,-0.0,-0.0,11.0,10.0,-0.0,-0.0,0.0,-0.0,-0.0,5.0,-0.0,10.0,4.0,-0.0,-0.0,6.0,-0.0,4.0,2.0
2397.1410794555813,-0.0,1.0,4.0,-0.0,5.0,0.0,-0.0,0.0,10.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,10.0,6.0,-0.0,0.0,9.0,-0.0,4.0,2.0
2423.806139431765,-0.0,0.0,12.0,-0.0,3.0,0.0,-0.0,0.0,10.0,-0.0,-0.0,0.0,-0.0,0.0,5.0,-0.0,17.0,4.0,-0.0,9.0,11.0,-0.0,4.0,2.0
2414.5703989751078,-0.0,-0.0,4.0,-0.0,-0.0,-0.0,-0.0,11.0,10.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.0,4.0,-0.0,9.0,11.0,-0.0,4.0,2.0
2411.639718076835,-0.0,0.0,2.0,-0.0,5.0,0.0,-0.0,11.0,10.0,-0.0,-0.0,0.0,-0.0,-0.0,5.0,-0.0,17.0,4.0,-0.0,10.0,11.0,-0.0,4.0,2.0
2413.518215597924,-0.0,-0.0,14.0,-0.0,-0.0,-0.0,-0.0,11.0,16.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.0,4.0,-0.0,9.0,6.0,-0.0,4.0,2.0
2402.8464332273743,-0.0,0.0,5.0,-0.0,5.0,-0.0,-0.0,11.0,10.0,-0.0,0.0,0.0,-0.0,0.0,5.0,-0.0,12.0,4.0,-0.0,9.0,9.0,-0.0,4.0,2.0
2429.879813070814,-0.0,0.0,2.0,-0.0,3.0,0.0,-0.0,0.0,11.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,12.0,4.0,-0.0,0.0,11.0,-0.0,4.0,2.0
2419.517461091349,-0.0,-0.0,2.0,-0.0,3.0,-0.0,-0.0,6.0,10.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,10.0,4.0,-0.0,9.0,6.0,-0.0,4.0,2.0
2397.133107668924,-0.0,1.0,2.0,-0.0,5.0,0.0,-0.0,11.0,10.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,-0.0,11.0,4.0,-0.0,9.0,9.0,-0.0,4.0,5.0
2405.5126293269886,-0.0,-0.0,2.0,-0.0,0.0,-0.0,-0.0,11.0,10.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,10.0,4.0,-0.0,9.0,10.0,-0.0,4.0,5.0
2418.86552369629,-0.0,0.0,14.0,-0.0,0.0,0.0,-0.0,11.0,10.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,11.0,4.0,-0.0,9.0,11.0,-0.0,4.0,2.0
2408.0800088932288,-0.0,-0.0,4.0,-0.0,3.0,-0.0,-0.0,4.0,10.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,17.0,4.0,-0.0,9.0,11.0,-0.0,4.0,2.0
2433.003926860737,-0.0,-0.0,7.0,-0.0,3.0,1.0,-0.0,-0.0,16.0,-0.0,-0.0,3.0,-0.0,0.0,4.0,-0.0,8.0,4.0,-0.0,9.0,11.0,-0.0,4.0,3.0
