profit,cluster2_cluster4_0,cluster2_cluster4_1,cluster2_cluster4_2,cluster2_cluster7_0,cluster2_cluster7_1,cluster2_cluster7_2,cluster2_cluster12_0,cluster2_cluster12_1,cluster2_cluster12_2,cluster2_cluster15_0,cluster2_cluster15_1,cluster2_cluster15_2,cluster2_cluster37_0,cluster2_cluster37_1,cluster2_cluster37_2,cluster2_cluster38_0,cluster2_cluster38_1,cluster2_cluster38_2,cluster2_cluster44_0,cluster2_cluster44_1,cluster2_cluster44_2,cluster2_cluster49_0,cluster2_cluster49_1,cluster2_cluster49_2
1915.5062620430135,-0.0,0.0,0.0,-0.0,3.0,54.0,-0.0,0.0,57.0,-0.0,6.0,-0.0,-0.0,30.0,25.0,-0.0,4.0,128.0,-0.0,15.0,10.0,-0.0,7.0,0.0
1874.370382767268,-0.0,7.0,0.0,-0.0,0.0,45.0,-0.0,28.0,-0.0,-0.0,6.0,-0.0,-0.0,30.0,-0.0,-0.0,4.0,128.0,-0.0,24.0,-0.0,-0.0,7.0,0.0
1921.6122951680509,-0.0,1.0,0.0,-0.0,0.0,54.0,-0.0,0.0,7.0,-0.0,6.0,-0.0,-0.0,30.0,25.0,-0.0,0.0,128.0,-0.0,15.0,15.0,-0.0,7.0,-0.0
1857.030683876948,-0.0,0.0,-0.0,-0.0,0.0,54.0,-0.0,0.0,-0.0,-0.0,6.0,-0.0,-0.0,30.0,-0.0,-0.0,4.0,121.0,-0.0,24.0,-0.0,-0.0,7.0,-0.0
1905.7000259454308,-0.0,-0.0,0.0,-0.0,2.0,54.0,-0.0,0.0,57.0,-0.0,6.0,-0.0,-0.0,30.0,25.0,-0.0,4.0,128.0,-0.0,15.0,5.0,-0.0,7.0,0.0
1905.0079444152188,-0.0,-0.0,2.0,-0.0,0.0,54.0,-0.0,0.0,57.0,-0.0,6.0,0.0,-0.0,30.0,25.0,-0.0,4.0,128.0,-0.0,16.0,15.0,-0.0,7.0,-0.0
1883.1808732519949,-0.0,12.0,-0.0,-0.0,-0.0,54.0,-0.0,0.0,-0.0,-0.0,6.0,-0.0,-0.0,30.0,-0.0,-0.0,-0.0,128.0,-0.0,21.0,5.0,-0.0,7.0,0.0
1905.5303865425549,-0.0,1.0,0.0,-0.0,0.0,54.0,-0.0,0.0,0.0,-0.0,6.0,1.0,-0.0,30.0,25.0,-0.0,4.0,128.0,-0.0,15.0,5.0,-0.0,7.0,0.0
1909.699085183104,-0.0,0.0,-0.0,-0.0,0.0,54.0,-0.0,0.0,101.0,-0.0,6.0,0.0,-0.0,30.0,25.0,-0.0,4.0,128.0,-0.0,15.0,20.0,-0.0,7.0,-0.0
1905.3733740222135,-0.0,1.0,-0.0,-0.0,-0.0,54.0,-0.0,-0.0,47.0,-0.0,6.0,-0.0,-0.0,30.0,-0.0,-0.0,4.0,128.0,-0.0,15.0,5.0,-0.0,7.0,-0.0
1896.1072821166647,-0.0,1.0,-0.0,-0.0,-0.0,54.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,-0.0,30.0,-0.0,-0.0,4.0,128.0,-0.0,15.0,-0.0,-0.0,7.0,-0.0
1893.1348730036348,-0.0,7.0,0.0,-0.0,0.0,54.0,-0.0,0.0,-0.0,-0.0,6.0,0.0,-0.0,30.0,-0.0,-0.0,4.0,128.0,-0.0,16.0,7.0,-0.0,7.0,0.0
1909.47807513698,-0.0,1.0,-0.0,-0.0,0.0,54.0,-0.0,-0.0,47.0,-0.0,6.0,0.0,-0.0,30.0,25.0,-0.0,4.0,128.0,-0.0,15.0,9.0,-0.0,9.0,-0.0
1876.263547786073,-0.0,1.0,-0.0,-0.0,-0.0,54.0,-0.0,0.0,0.0,-0.0,6.0,0.0,-0.0,30.0,25.0,-0.0,4.0,132.0,-0.0,15.0,10.0,-0.0,7.0,-0.0
