profit,cluster34_cluster4_0,cluster34_cluster4_1,cluster34_cluster4_2,cluster34_cluster7_0,cluster34_cluster7_1,cluster34_cluster7_2,cluster34_cluster12_0,cluster34_cluster12_1,cluster34_cluster12_2,cluster34_cluster15_0,cluster34_cluster15_1,cluster34_cluster15_2,cluster34_cluster37_0,cluster34_cluster37_1,cluster34_cluster37_2,cluster34_cluster38_0,cluster34_cluster38_1,cluster34_cluster38_2,cluster34_cluster44_0,cluster34_cluster44_1,cluster34_cluster44_2,cluster34_cluster49_0,cluster34_cluster49_1,cluster34_cluster49_2
2810.447574,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2819.72839,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2807.37863,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2814.320377,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2813.080387,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2814.753825,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2829.012017,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0
2814.900399,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2793.151179,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2800.75248,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2812.136946,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2802.032102,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
2819.281523,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2801.351086,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
