datetime,tempm,dewptm,hum,wspdm,wdird,vism,pressurei,fog,rain,snow
2016/1/1,3.9,-3.9,57,11.1,280,16.1,30.05,0,0,0
2016/1/2,10,2.2,59,13,240,16.1,29.78,0,0,0
2016/1/3,3.9,-6.1,49,11.1,10,16.1,30.16,0,0,0
2016/1/4,17.8,13.3,75,9.3,160,16.1,29.68,0,0,0
2016/1/5,9.4,2.2,61,11.1,170,16.1,30.22,0,0,0
2016/1/6,22.8,10,44,0,0,14.5,30.08,0,0,0
2016/1/7,22.8,18.3,76,0,0,12.9,30.01,0,0,0
2016/1/8,21.1,18.9,87,13,70,11.3,30.07,0,0,0
2016/1/9,21.7,20,90,0,0,6.4,29.85,0,1,0
2016/1/10,13.9,12.2,89,14.8,50,11.3,30.22,0,0,0
2016/1/11,6.1,2.8,80,5.6,30,16.1,30.36,0,0,0
2016/1/12,11.1,7.8,80,9.3,280,16.1,29.61,0,0,0
2016/1/13,-5.6,-14.4,51,9.3,0,16.1,29.96,0,0,0
2016/1/14,-4.4,-12.8,53,7.4,0,16.1,29.94,0,0,0
2016/1/15,2.8,-2.8,67,5.6,30,12.9,29.94,0,0,0
2016/1/16,6.1,3.9,86,5.6,0,9.7,29.42,0,1,0
2016/1/17,1.7,-7.8,50,14.8,20,16.1,29.86,0,0,0
2016/1/18,-5.6,-14.4,51,16.7,300,16.1,29.79,0,0,0
2016/1/19,-8.9,-17.2,52,25.9,290,16.1,30.02,0,0,0
2016/1/20,-1.7,-9.4,56,11.1,310,16.1,30.21,0,0,0
2016/1/21,-2.8,-10.6,56,0,0,16.1,30.14,0,0,0
2016/1/22,-5.6,-15.6,46,9.3,0,16.1,30.29,0,0,0
2016/1/23,-3.9,-5.6,88,29.6,60,0.4,29.77,1,0,1
2016/1/24,-6.7,-13.9,57,13,310,14.5,29.91,0,0,0
2016/1/25,-1.7,-8.9,58,5.6,40,14.5,30.25,0,0,0
2016/1/26,5,-2.8,57,7.4,0,16.1,30.08,0,0,0
2016/1/27,5.6,-3.3,53,16.7,290,16.1,30.02,0,0,0
2016/1/28,0.6,-5,66,0,0,16.1,30.02,0,0,0
2016/1/29,1.7,-5.6,59,11.1,290,12.9,29.47,0,0,0
2016/1/30,-1.7,-8.9,58,9.3,270,16.1,30.08,0,0,0
2016/1/31,3.3,-3.9,60,13,250,16.1,29.96,0,0,0
2016/2/1,1.1,-7.8,52,7.4,270,16.1,30.07,0,0,0
2016/2/2,3.9,-4.4,55,7.4,300,16.1,30.3,0,0,0
2016/2/3,8.3,-1.1,52,22.2,290,16.1,29.58,0,0,0
2016/2/4,12.2,6.1,66,0,0,16.1,29.6,0,0,0
2016/2/5,8.3,6.7,90,11.1,60,4.8,30,0,0,0
2016/2/6,17.8,13.3,75,11.1,50,11.3,30.15,0,0,0
2016/2/7,20,14,68,0,0,16.1,29.98,0,0,0
2016/2/8,22.2,16.7,71,9.3,0,14.5,30.08,0,0,0
2016/2/9,19.4,13.3,68,9.3,20,16.1,30.06,0,0,0
2016/2/10,13.9,11.7,87,7.4,360,16.1,30.13,0,0,0
2016/2/11,12.2,8.3,77,7.4,0,14.5,30.27,0,0,0
2016/2/12,5,-2.2,60,11.1,0,16.1,29.91,0,0,0
2016/2/13,-6.1,-17.2,42,24.1,300,16.1,29.96,0,0,0
2016/2/14,-18.3,-27.8,44,20.4,300,16.1,30.52,0,0,0
2016/2/15,-7.8,-18.3,44,9.3,120,16.1,30.54,0,0,0
2016/2/16,10.6,7.8,83,13,170,9.7,29.88,0,0,0
2016/2/17,2.8,-3.9,62,7.4,280,16.1,29.94,0,0,0
2016/2/18,-2.8,-11.7,51,5.6,0,16.1,30.38,0,0,0
2016/2/19,-2.8,-16.1,36,7.4,0,16.1,30.59,0,0,0
2016/2/20,6.7,-3.3,49,9.3,0,16.1,29.98,0,0,0
2016/2/21,10.6,-0.6,46,9.3,300,16.1,29.94,0,0,0
2016/2/22,4.4,-3.9,55,13,20,16.1,30.13,0,0,0
2016/2/23,3.9,0.6,79,22.2,60,16.1,30.3,0,0,0
2016/2/24,3.3,1.7,89,24.1,80,2.8,30.01,0,1,0
2016/2/25,12.8,5.6,62,13,200,16.1,29.23,0,0,0
2016/2/26,-0.6,-11.7,43,13,300,16.1,29.8,0,0,0
2016/2/27,-2.2,-11.7,49,0,0,16.1,30.14,0,0,0
