user:[8, 9, 10, 6, 27, 33, 42, 43, 1, 23, 34, 16, 26, 18, 20, 46]
selected sites ID:1,6,8,9,10,18,27,42,43
Formulation_explanation:The meaning of the formula is to minimize the total idle vehicle cost, considering all supply nodes, demand nodes, and charge levels. The cost is composed of the allocation cost for moving vehicles from supply to demand nodes and the inconvenience cost for each driver. The formula aggregates these costs for all possible combinations of supply nodes, demand nodes, and charge levels.
temp_text:model.setObjective(gp.quicksum((w[S.index(i)][D.index(j)] + w_hat[S.index(i)][D.index(j)]) * model.getVarByName(f'cluster{i}_cluster{j}_{k}') for i in S for j in D for k in K), GRB.MINIMIZE)
LEO_optimize_time:66.85603284835815
LEO_result:[9.221277938834655, 3185.2215933403563]
base_optimize_time:179.2163269519806
base_result:[4.068204749760139, 2670.2528457322655]
Optimization gap 1: 126.67%
Optimization gap 2: 19.29%
caculate expression: sum((k+1) * (I[S.index(i)][K.index(k)] - sum(model.getVarByName(f'cluster{i}_cluster{j}_{k}').X for j in D)) for i in S for k in K)
LEO Model Variables and Values:
cluster0_cluster4_0 = -0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = -0.0
cluster0_cluster7_0 = -0.0
cluster0_cluster7_1 = -0.0
cluster0_cluster7_2 = -0.0
cluster0_cluster12_0 = -0.0
cluster0_cluster12_1 = -0.0
cluster0_cluster12_2 = -0.0
cluster0_cluster15_0 = -0.0
cluster0_cluster15_1 = -0.0
cluster0_cluster15_2 = -0.0
cluster0_cluster37_0 = -0.0
cluster0_cluster37_1 = -0.0
cluster0_cluster37_2 = 1.0
cluster0_cluster38_0 = -0.0
cluster0_cluster38_1 = -0.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = -0.0
cluster0_cluster44_1 = -0.0
cluster0_cluster44_2 = -0.0
cluster0_cluster49_0 = -0.0
cluster0_cluster49_1 = -0.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = 0.0
cluster1_cluster4_1 = 3.0
cluster1_cluster4_2 = 3.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 3.0
cluster1_cluster7_2 = 4.0
cluster1_cluster12_0 = 0.0
cluster1_cluster12_1 = 3.0
cluster1_cluster12_2 = 3.0
cluster1_cluster15_0 = 0.0
cluster1_cluster15_1 = 3.0
cluster1_cluster15_2 = 3.0
cluster1_cluster37_0 = 0.0
cluster1_cluster37_1 = 3.0
cluster1_cluster37_2 = 4.0
cluster1_cluster38_0 = 0.0
cluster1_cluster38_1 = 3.0
cluster1_cluster38_2 = 4.0
cluster1_cluster44_0 = 0.0
cluster1_cluster44_1 = 3.0
cluster1_cluster44_2 = 4.0
cluster1_cluster49_0 = 0.0
cluster1_cluster49_1 = 3.0
cluster1_cluster49_2 = 4.0
cluster2_cluster4_0 = -0.0
