user:[46, 32, 11, 5, 6, 22, 26, 48, 42, 10, 28, 40, 17, 16, 31, 9]
selected sites ID:45,36,8,18,14,39,37
Formulation_explanation:The objective of the formula is to maximize the service level of vehicles, which is a combination of the distance traveled weighted by the number of allocated vehicles with different SOC levels. This encourages the allocation of vehicles with higher SOC levels over longer distances to improve service quality. This is represented by summing up the product of the distance, the level of SOC (k+1), and the number of allocated vehicles from supply node i to demand node j.
temp_text:model.setObjective(gp.quicksum((k+1) * d[S.index(i)][D.index(j)] * model.getVarByName(f'cluster{i}_cluster{j}_{k}') for i in S for j in D for k in K), GRB.MAXIMIZE)
LEO_optimize_time:92.63195085525513
LEO_result:[6.0990748443159815, -35074.732632073945]
base_optimize_time:293.07634687423706
base_result:[4.068204749760136, -39151.6110858413]
Optimization gap 1: 49.92%
Optimization gap 2: 10.41%
caculate expression: sum((k+1) * model.getVarByName(f'cluster{i}_cluster{j}_{k}').X for i in S for j in D for k in K)
LEO Model Variables and Values:
cluster0_cluster4_0 = -0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = -0.0
cluster0_cluster7_0 = -0.0
cluster0_cluster7_1 = -0.0
cluster0_cluster7_2 = -0.0
cluster0_cluster12_0 = 1.0
cluster0_cluster12_1 = 1.0000000000181901
cluster0_cluster12_2 = 0.0
cluster0_cluster15_0 = -0.0
cluster0_cluster15_1 = -0.0
cluster0_cluster15_2 = -0.0
cluster0_cluster37_0 = -0.0
cluster0_cluster37_1 = -0.0
cluster0_cluster37_2 = 1.0
cluster0_cluster38_0 = -0.0
cluster0_cluster38_1 = 0.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = -0.0
cluster0_cluster44_1 = -0.0
cluster0_cluster44_2 = -0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = 1.99999999998181
cluster0_cluster49_2 = 3.0
cluster1_cluster4_0 = 13.0
cluster1_cluster4_1 = 7.999999999999998
cluster1_cluster4_2 = 7.0
cluster1_cluster7_0 = -0.0
cluster1_cluster7_1 = 2.0
cluster1_cluster7_2 = -0.0
cluster1_cluster12_0 = -0.0
cluster1_cluster12_1 = -0.0
cluster1_cluster12_2 = -0.0
cluster1_cluster15_0 = -0.0
cluster1_cluster15_1 = 2.0
cluster1_cluster15_2 = 2.0
cluster1_cluster37_0 = -0.0
cluster1_cluster37_1 = 3.0
cluster1_cluster37_2 = -0.0
cluster1_cluster38_0 = -0.0
cluster1_cluster38_1 = -0.0
cluster1_cluster38_2 = 2.0
cluster1_cluster44_0 = 0.0
cluster1_cluster44_1 = 11.0
cluster1_cluster44_2 = 26.999999999999993
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = 0.0
cluster1_cluster49_2 = 2.0
cluster2_cluster4_0 = -0.0
cluster2_cluster4_1 = 21.000000000000004
cluster2_cluster4_2 = 44.0
cluster2_cluster7_0 = -0.0
cluster2_cluster7_1 = 0.0
cluster2_cluster7_2 = 22.0
cluster2_cluster12_0 = -0.0
cluster2_cluster12_1 = 8.0
cluster2_cluster12_2 = 0.0
cluster2_cluster15_0 = -0.0
cluster2_cluster15_1 = 21.0
cluster2_cluster15_2 = 74.99999999999999
cluster2_cluster37_0 = -0.0
cluster2_cluster37_1 = 11.0
cluster2_cluster37_2 = 30.0
cluster2_cluster38_0 = -0.0
cluster2_cluster38_1 = -0.0
cluster2_cluster38_2 = -0.0
cluster2_cluster44_0 = -0.0
cluster2_cluster44_1 = 101.99999999999997
cluster2_cluster44_2 = 94.00000000000003
cluster2_cluster49_0 = -0.0
cluster2_cluster49_1 = -0.0
cluster2_cluster49_2 = 7.0
cluster3_cluster4_0 = 1.0
cluster3_cluster4_1 = 2.0
