selected_num:29
selected decision variable:cluster0:[2,3,4,5,6,7,8,9,10,11],cluster1:[2,3,4,5,6,7,8,9,10,11],cluster2:[2,3,4],avg_reward12:[1,2,3],reward4:[1],reward15:[1],reward37:[1],reward44:[1],reward49:[1],reward7:[1]
Formulation_explanation:The objective function aims to reduce the cost of idle vehicles by minimizing the total allocation cost and inconvenience cost for moving vehicles from supply regions to demand regions. The formula sums the cost based on the number of vehicles allocated with different states of charge (SOC) from supply to demand regions, considering the distance and fee per kilometer. This approach helps in optimally distributing vehicles to meet demand while minimizing unnecessary allocation expenses.
temp_text:
LEO_optimize_time:10.568262815475464
LEO_result:[2752.640728817214, 0.0]
base_optimize_time:20.52267599105835
base_result:[2763.359448003865, 0.0]
Optimization gap 1: 0.39%
Optimization gap 2: 0.00%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = -0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = -0.0
cluster0_cluster37_2 = -0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = -0.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = 1.0
cluster0_cluster44_2 = -0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = 1.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = -0.0
cluster1_cluster4_1 = 5.0
cluster1_cluster4_2 = 0.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 0.0
cluster1_cluster7_2 = 1.0
cluster1_cluster12_0 = 0.0
cluster1_cluster12_1 = 0.0
cluster1_cluster12_2 = 1.0
cluster1_cluster15_0 = 0.0
cluster1_cluster15_1 = 0.0
cluster1_cluster15_2 = 5.0
cluster1_cluster37_0 = -0.0
cluster1_cluster37_1 = 5.0
cluster1_cluster37_2 = -0.0
cluster1_cluster38_0 = -0.0
cluster1_cluster38_1 = -0.0
cluster1_cluster38_2 = 11.0
cluster1_cluster44_0 = -0.0
cluster1_cluster44_1 = 3.0
cluster1_cluster44_2 = 5.0
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = 3.0
cluster1_cluster49_2 = -0.0
cluster2_cluster4_0 = 0.0
cluster2_cluster4_1 = 4.0
cluster2_cluster4_2 = 1.0
cluster2_cluster7_0 = 0.0
cluster2_cluster7_1 = 33.0
cluster2_cluster7_2 = 80.0
cluster2_cluster12_0 = 0.0
cluster2_cluster12_1 = 37.0
cluster2_cluster12_2 = 80.0
cluster2_cluster15_0 = 0.0
cluster2_cluster15_1 = -0.0
cluster2_cluster15_2 = -0.0
cluster2_cluster37_0 = 0.0
cluster2_cluster37_1 = -0.0
cluster2_cluster37_2 = 2.0
cluster2_cluster38_0 = 0.0
cluster2_cluster38_1 = 22.0
cluster2_cluster38_2 = 41.0
cluster2_cluster44_0 = 0.0
cluster2_cluster44_1 = 31.0
cluster2_cluster44_2 = 41.0
cluster2_cluster49_0 = 0.0
cluster2_cluster49_1 = -0.0
cluster2_cluster49_2 = -0.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = -0.0
cluster3_cluster4_2 = -0.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = -0.0
cluster3_cluster7_2 = 1.0
cluster3_cluster12_0 = -0.0
cluster3_cluster12_1 = 0.0
cluster3_cluster12_2 = -0.0
cluster3_cluster15_0 = 0.0
cluster3_cluster15_1 = -0.0
cluster3_cluster15_2 = 0.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = 0.0
cluster3_cluster37_2 = -0.0
cluster3_cluster38_0 = 0.0
cluster3_cluster38_1 = 0.0
cluster3_cluster38_2 = -0.0
cluster3_cluster44_0 = -0.0
cluster3_cluster44_1 = -0.0
cluster3_cluster44_2 = 0.0
cluster3_cluster49_0 = 0.0
cluster3_cluster49_1 = -0.0
cluster3_cluster49_2 = 0.0
cluster5_cluster4_0 = -0.0
cluster5_cluster4_1 = 2.0
cluster5_cluster4_2 = -0.0
cluster5_cluster7_0 = 0.0
cluster5_cluster7_1 = -0.0
cluster5_cluster7_2 = -0.0
cluster5_cluster12_0 = -0.0
cluster5_cluster12_1 = 3.0
cluster5_cluster12_2 = 1.0
cluster5_cluster15_0 = 1.0
cluster5_cluster15_1 = 3.0
cluster5_cluster15_2 = 0.0
cluster5_cluster37_0 = -0.0
cluster5_cluster37_1 = -0.0
cluster5_cluster37_2 = 0.0
cluster5_cluster38_0 = 1.0
cluster5_cluster38_1 = -0.0
cluster5_cluster38_2 = 0.0
cluster5_cluster44_0 = 0.0
cluster5_cluster44_1 = -0.0
cluster5_cluster44_2 = 0.0
cluster5_cluster49_0 = 0.0
cluster5_cluster49_1 = 0.0
cluster5_cluster49_2 = -0.0
cluster6_cluster4_0 = -0.0
cluster6_cluster4_1 = 0.0
cluster6_cluster4_2 = -0.0
cluster6_cluster7_0 = -0.0
cluster6_cluster7_1 = -0.0
cluster6_cluster7_2 = -0.0
cluster6_cluster12_0 = -0.0
cluster6_cluster12_1 = -0.0
cluster6_cluster12_2 = 1.0
cluster6_cluster15_0 = -0.0
cluster6_cluster15_1 = -0.0
cluster6_cluster15_2 = -0.0
cluster6_cluster37_0 = -0.0
cluster6_cluster37_1 = 0.0
cluster6_cluster37_2 = 2.0
cluster6_cluster38_0 = -0.0
cluster6_cluster38_1 = 0.0
cluster6_cluster38_2 = -0.0
