selected_num:26
selected decision variable:cluster0:[2,3,4,5,6,7,8,9,10,11],reward12:[2,3,4],reward15:[2,3,4],reward37:[2,3,4],reward38:[2,3,4],reward4:[2,3,4],reward44:[2,3,4],reward49:[2,3,4],reward7:[2,3,4]
Formulation_explanation:The formula aims to maximize the allocation of high-powered taxis (k=2) to demand areas. This is achieved by summing up the decision variables representing high SOC (state of charge) vehicle allocations across all supply and demand pairs. By focusing on increasing the number of high-powered taxis, we aim to improve service quality and customer satisfaction in demand areas. This approach aligns with the goal of enhancing the availability of high-performance vehicles where they are most needed.
temp_text:model.setObjective(gp.quicksum(model.getVarByName(f'cluster{i}_cluster{j}_2') for i in S for j in D), GRB.MAXIMIZE)
LEO_optimize_time:95.19272518157959
LEO_result:[2446.7014520883286, -232.0]
base_optimize_time:598.4589002132416
base_result:[2460.8820431730996, -236.0]
Optimization gap 1: 0.58%
Optimization gap 2: 1.69%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 1.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = 0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = -0.0
cluster0_cluster37_2 = 1.0
cluster0_cluster38_0 = -0.0
cluster0_cluster38_1 = -0.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = -0.0
cluster0_cluster44_1 = 2.0
cluster0_cluster44_2 = -0.0
cluster0_cluster49_0 = -0.0
cluster0_cluster49_1 = -0.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = 0.0
cluster1_cluster4_1 = -0.0
cluster1_cluster4_2 = 0.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 10.0
cluster1_cluster7_2 = 9.0
cluster1_cluster12_0 = 0.0
cluster1_cluster12_1 = 1.0
cluster1_cluster12_2 = 13.0
cluster1_cluster15_0 = 0.0
cluster1_cluster15_1 = 3.0
cluster1_cluster15_2 = 1.0
cluster1_cluster37_0 = 0.0
cluster1_cluster37_1 = 5.0
cluster1_cluster37_2 = -0.0
cluster1_cluster38_0 = 0.0
cluster1_cluster38_1 = 4.0
cluster1_cluster38_2 = 2.0
cluster1_cluster44_0 = 0.0
cluster1_cluster44_1 = 13.0
cluster1_cluster44_2 = -0.0
cluster1_cluster49_0 = 0.0
cluster1_cluster49_1 = -0.0
cluster1_cluster49_2 = -0.0
cluster2_cluster4_0 = 0.0
cluster2_cluster4_1 = -0.0
cluster2_cluster4_2 = 2.0
cluster2_cluster7_0 = 0.0
cluster2_cluster7_1 = 54.0
cluster2_cluster7_2 = 38.0
cluster2_cluster12_0 = 0.0
cluster2_cluster12_1 = 55.0
cluster2_cluster12_2 = 17.0
cluster2_cluster15_0 = 0.0
cluster2_cluster15_1 = 27.0
cluster2_cluster15_2 = 6.0
cluster2_cluster37_0 = 0.0
cluster2_cluster37_1 = -0.0
cluster2_cluster37_2 = 4.0
cluster2_cluster38_0 = 0.0
cluster2_cluster38_1 = 55.0
cluster2_cluster38_2 = 20.0
cluster2_cluster44_0 = 0.0
cluster2_cluster44_1 = 41.0
cluster2_cluster44_2 = -0.0
cluster2_cluster49_0 = 0.0
cluster2_cluster49_1 = 11.0
cluster2_cluster49_2 = -0.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = -0.0
cluster3_cluster4_2 = 0.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = -0.0
cluster3_cluster7_2 = 0.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = 0.0
cluster3_cluster12_2 = -0.0
cluster3_cluster15_0 = 0.0
cluster3_cluster15_1 = -0.0
cluster3_cluster15_2 = -0.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = -0.0
cluster3_cluster37_2 = -0.0
cluster3_cluster38_0 = 1.0
cluster3_cluster38_1 = 0.0
cluster3_cluster38_2 = -0.0
cluster3_cluster44_0 = 0.0
cluster3_cluster44_1 = 1.0
cluster3_cluster44_2 = -0.0
cluster3_cluster49_0 = 0.0
cluster3_cluster49_1 = 0.0
cluster3_cluster49_2 = 0.0
cluster5_cluster4_0 = 0.0
cluster5_cluster4_1 = -0.0
cluster5_cluster4_2 = -0.0
cluster5_cluster7_0 = -0.0
cluster5_cluster7_1 = -0.0
cluster5_cluster7_2 = 0.0
cluster5_cluster12_0 = -0.0
cluster5_cluster12_1 = 2.0
cluster5_cluster12_2 = -0.0
cluster5_cluster15_0 = -0.0
cluster5_cluster15_1 = -0.0
cluster5_cluster15_2 = 1.0
cluster5_cluster37_0 = 0.0
cluster5_cluster37_1 = 0.0
cluster5_cluster37_2 = -0.0
cluster5_cluster38_0 = 1.0
cluster5_cluster38_1 = -0.0
cluster5_cluster38_2 = -0.0
cluster5_cluster44_0 = -0.0
cluster5_cluster44_1 = 0.0
cluster5_cluster44_2 = -0.0
cluster5_cluster49_0 = 0.0
cluster5_cluster49_1 = -0.0
cluster5_cluster49_2 = 2.0
cluster6_cluster4_0 = 0.0
cluster6_cluster4_1 = 0.0
cluster6_cluster4_2 = 0.0
cluster6_cluster7_0 = 0.0
cluster6_cluster7_1 = -0.0
cluster6_cluster7_2 = 1.0
cluster6_cluster12_0 = 0.0
cluster6_cluster12_1 = -0.0
cluster6_cluster12_2 = 0.0
cluster6_cluster15_0 = 0.0
cluster6_cluster15_1 = 0.0
cluster6_cluster15_2 = -0.0
cluster6_cluster37_0 = 0.0
cluster6_cluster37_1 = 1.0
cluster6_cluster37_2 = -0.0
cluster6_cluster38_0 = 0.0
cluster6_cluster38_1 = 0.0
cluster6_cluster38_2 = -0.0
cluster6_cluster44_0 = 0.0
cluster6_cluster44_1 = -0.0
cluster6_cluster44_2 = -0.0
cluster6_cluster49_0 = 0.0
cluster6_cluster49_1 = 0.0
cluster6_cluster49_2 = -0.0
cluster8_cluster4_0 = 0.0
cluster8_cluster4_1 = 1.0
cluster8_cluster4_2 = -0.0
cluster8_cluster7_0 = 0.0
cluster8_cluster7_1 = 1.0
cluster8_cluster7_2 = -0.0
cluster8_cluster12_0 = 1.0
cluster8_cluster12_1 = 0.0
cluster8_cluster12_2 = -0.0
cluster8_cluster15_0 = 0.0
cluster8_cluster15_1 = 0.0
cluster8_cluster15_2 = 0.0
cluster8_cluster37_0 = 0.0
cluster8_cluster37_1 = -0.0
cluster8_cluster37_2 = -0.0
cluster8_cluster38_0 = 0.0
cluster8_cluster38_1 = -0.0
cluster8_cluster38_2 = -0.0
cluster8_cluster44_0 = 0.0
cluster8_cluster44_1 = 0.0
cluster8_cluster44_2 = -0.0
cluster8_cluster49_0 = 0.0
cluster8_cluster49_1 = 0.0
cluster8_cluster49_2 = -0.0
cluster9_cluster4_0 = 0.0
cluster9_cluster4_1 = -0.0
cluster9_cluster4_2 = -0.0
cluster9_cluster7_0 = 0.0
cluster9_cluster7_1 = -0.0
cluster9_cluster7_2 = -0.0
cluster9_cluster12_0 = 0.0
cluster9_cluster12_1 = -0.0
cluster9_cluster12_2 = 1.0
cluster9_cluster15_0 = 0.0
cluster9_cluster15_1 = 1.0
cluster9_cluster15_2 = -0.0
cluster9_cluster37_0 = 0.0
cluster9_cluster37_1 = -0.0
cluster9_cluster37_2 = -0.0
cluster9_cluster38_0 = 0.0
cluster9_cluster38_1 = 0.0
cluster9_cluster38_2 = -0.0
cluster9_cluster44_0 = 0.0
cluster9_cluster44_1 = -0.0
cluster9_cluster44_2 = 1.0
cluster9_cluster49_0 = 0.0
cluster9_cluster49_1 = 1.0
cluster9_cluster49_2 = -0.0
cluster10_cluster4_0 = 0.0
cluster10_cluster4_1 = 0.0
cluster10_cluster4_2 = -0.0
cluster10_cluster7_0 = 0.0
cluster10_cluster7_1 = -0.0
cluster10_cluster7_2 = -0.0
cluster10_cluster12_0 = 0.0
cluster10_cluster12_1 = 2.0
cluster10_cluster12_2 = 1.0
cluster10_cluster15_0 = 0.0
cluster10_cluster15_1 = -0.0
cluster10_cluster15_2 = -0.0
cluster10_cluster37_0 = 0.0
cluster10_cluster37_1 = -0.0
cluster10_cluster37_2 = -0.0
cluster10_cluster38_0 = 0.0
cluster10_cluster38_1 = -0.0
cluster10_cluster38_2 = -0.0
cluster10_cluster44_0 = 0.0
cluster10_cluster44_1 = 1.0
cluster10_cluster44_2 = 1.0
cluster10_cluster49_0 = 0.0
cluster10_cluster49_1 = -0.0
cluster10_cluster49_2 = -0.0
cluster11_cluster4_0 = 0.0
cluster11_cluster4_1 = -0.0
cluster11_cluster4_2 = -0.0
cluster11_cluster7_0 = 0.0
cluster11_cluster7_1 = 1.0
cluster11_cluster7_2 = 1.0
cluster11_cluster12_0 = 0.0
cluster11_cluster12_1 = 0.0
cluster11_cluster12_2 = 0.0
cluster11_cluster15_0 = 0.0
cluster11_cluster15_1 = 1.0
cluster11_cluster15_2 = -0.0
cluster11_cluster37_0 = 0.0
cluster11_cluster37_1 = 0.0
cluster11_cluster37_2 = -0.0
cluster11_cluster38_0 = 0.0
cluster11_cluster38_1 = 1.0
cluster11_cluster38_2 = -0.0
cluster11_cluster44_0 = 0.0
cluster11_cluster44_1 = 1.0
cluster11_cluster44_2 = 1.0
cluster11_cluster49_0 = 0.0
cluster11_cluster49_1 = 0.0
cluster11_cluster49_2 = -0.0
cluster13_cluster4_0 = 0.0
cluster13_cluster4_1 = -0.0
cluster13_cluster4_2 = -0.0
cluster13_cluster7_0 = 0.0
cluster13_cluster7_1 = 2.0
cluster13_cluster7_2 = 2.0
cluster13_cluster12_0 = 0.0
cluster13_cluster12_1 = -0.0
cluster13_cluster12_2 = -0.0
cluster13_cluster15_0 = 0.0
cluster13_cluster15_1 = 1.0
cluster13_cluster15_2 = -0.0
cluster13_cluster37_0 = 0.0
cluster13_cluster37_1 = 1.0
cluster13_cluster37_2 = 2.0
cluster13_cluster38_0 = 0.0
cluster13_cluster38_1 = 2.0
cluster13_cluster38_2 = -0.0
cluster13_cluster44_0 = 0.0
cluster13_cluster44_1 = 1.0
cluster13_cluster44_2 = 0.0
cluster13_cluster49_0 = 0.0
cluster13_cluster49_1 = -0.0
cluster13_cluster49_2 = 2.0
cluster14_cluster4_0 = 0.0
cluster14_cluster4_1 = -0.0
cluster14_cluster4_2 = -0.0
cluster14_cluster7_0 = 0.0
cluster14_cluster7_1 = -0.0
cluster14_cluster7_2 = 3.0
cluster14_cluster12_0 = -0.0
cluster14_cluster12_1 = -0.0
cluster14_cluster12_2 = -0.0
cluster14_cluster15_0 = 0.0
cluster14_cluster15_1 = 1.0
cluster14_cluster15_2 = -0.0
cluster14_cluster37_0 = -0.0
cluster14_cluster37_1 = 0.0
cluster14_cluster37_2 = -0.0
cluster14_cluster38_0 = 1.0
cluster14_cluster38_1 = 0.0
cluster14_cluster38_2 = 1.0
cluster14_cluster44_0 = 0.0
cluster14_cluster44_1 = 0.0
cluster14_cluster44_2 = 1.0
cluster14_cluster49_0 = 0.0
cluster14_cluster49_1 = 1.0
cluster14_cluster49_2 = -0.0
cluster16_cluster4_0 = -0.0
cluster16_cluster4_1 = 0.0
cluster16_cluster4_2 = -0.0
cluster16_cluster7_0 = -0.0
cluster16_cluster7_1 = 0.0
cluster16_cluster7_2 = -0.0
