selected_num:27
selected decision variable:cluster0:[1,2,3],cluster1:[4,5,6],cluster2:[7,8,9],cluster3:[10,11,12],cluster5:[13,14,15],cluster6:[16,17,18],cluster8:[19,20,21],cluster9:[22,23,24],reward12:[1,2,3],reward15:[4,5,6],reward37:[7,8,9],reward38:[10,11,12],reward4:[13,14,15],reward44:[16,17,18],reward49:[19,20,21],reward7:[22,23,24]
Formulation_explanation:The objective function is designed to reduce the proportion of idle vehicles by minimizing the difference between the number of idle vehicles with a specific state of charge (SOC) at each supply node and the number of vehicles allocated to demand nodes. By doing so, the function encourages the efficient allocation of vehicles, thereby reducing idle inventory at supply nodes. This approach directly addresses the goal of minimizing the proportion of idle vehicles while adhering to constraints on vehicle allocation without introducing complexity beyond linear terms.
temp_text:model.setObjective(gp.quicksum((I[i][k] - gp.quicksum(model.getVarByName(f'cluster{i}_cluster{j}_{k}') for j in D)) for i in S for k in K), GRB.MINIMIZE)
LEO_optimize_time:12.81017518043518
LEO_result:[2403.744047943024, -1657.2950901246868]
base_optimize_time:84.72101211547852
base_result:[2403.867600165907, -1646.2950901246868]
Optimization gap 1: 0.01%
Optimization gap 2: 0.67%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = -0.0
cluster0_cluster7_2 = -0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 1.0
cluster0_cluster12_2 = 3.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = 0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = 0.0
cluster0_cluster37_2 = 0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = -0.0
cluster0_cluster38_2 = 0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = -0.0
cluster0_cluster44_2 = 0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = -0.0
cluster0_cluster49_2 = 0.0
cluster1_cluster4_0 = -0.0
cluster1_cluster4_1 = 4.0
cluster1_cluster4_2 = 10.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 0.0
cluster1_cluster7_2 = 0.0
cluster1_cluster12_0 = -0.0
cluster1_cluster12_1 = 6.0
cluster1_cluster12_2 = 8.0
cluster1_cluster15_0 = -0.0
cluster1_cluster15_1 = 0.0
cluster1_cluster15_2 = 3.0
cluster1_cluster37_0 = -0.0
cluster1_cluster37_1 = 8.0
cluster1_cluster37_2 = 0.0
cluster1_cluster38_0 = -0.0
cluster1_cluster38_1 = 2.0
cluster1_cluster38_2 = 0.0
cluster1_cluster44_0 = -0.0
cluster1_cluster44_1 = 0.0
cluster1_cluster44_2 = 0.0
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = -0.0
cluster1_cluster49_2 = 7.0
cluster2_cluster4_0 = 0.0
cluster2_cluster4_1 = -0.0
cluster2_cluster4_2 = 10.0
cluster2_cluster7_0 = 0.0
cluster2_cluster7_1 = 37.0
cluster2_cluster7_2 = 25.0
cluster2_cluster12_0 = 10.0
cluster2_cluster12_1 = 40.0
cluster2_cluster12_2 = 28.0
cluster2_cluster15_0 = 3.0
cluster2_cluster15_1 = 19.0
cluster2_cluster15_2 = 0.0
cluster2_cluster37_0 = 0.0
cluster2_cluster37_1 = 0.0
cluster2_cluster37_2 = -0.0
cluster2_cluster38_0 = 0.0
cluster2_cluster38_1 = 56.0
cluster2_cluster38_2 = 64.0
cluster2_cluster44_0 = -0.0
cluster2_cluster44_1 = 3.0
cluster2_cluster44_2 = 16.0
cluster2_cluster49_0 = 0.0
cluster2_cluster49_1 = -0.0
cluster2_cluster49_2 = 0.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = -0.0
cluster3_cluster4_2 = 0.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = -0.0
cluster3_cluster7_2 = 0.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = 1.0
cluster3_cluster12_2 = 1.0
cluster3_cluster15_0 = 0.0
cluster3_cluster15_1 = 0.0
cluster3_cluster15_2 = 0.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = -0.0
cluster3_cluster37_2 = 0.0
cluster3_cluster38_0 = 0.0
cluster3_cluster38_1 = -0.0
cluster3_cluster38_2 = -0.0
cluster3_cluster44_0 = 1.0
cluster3_cluster44_1 = 0.0
cluster3_cluster44_2 = -0.0
cluster3_cluster49_0 = 0.0
cluster3_cluster49_1 = 0.0
cluster3_cluster49_2 = -0.0
cluster5_cluster4_0 = -0.0
cluster5_cluster4_1 = 0.0
cluster5_cluster4_2 = 0.0
cluster5_cluster7_0 = -0.0
cluster5_cluster7_1 = 0.0
cluster5_cluster7_2 = -0.0
cluster5_cluster12_0 = -0.0
cluster5_cluster12_1 = 0.0
cluster5_cluster12_2 = 0.0
cluster5_cluster15_0 = 1.0
cluster5_cluster15_1 = 0.0
cluster5_cluster15_2 = -0.0
cluster5_cluster37_0 = 0.0
cluster5_cluster37_1 = 0.0
cluster5_cluster37_2 = 0.0
cluster5_cluster38_0 = 0.0
cluster5_cluster38_1 = 0.0
cluster5_cluster38_2 = 1.0
cluster5_cluster44_0 = 0.0
cluster5_cluster44_1 = -0.0
cluster5_cluster44_2 = 0.0
cluster5_cluster49_0 = -0.0
cluster5_cluster49_1 = -0.0
cluster5_cluster49_2 = 1.0
cluster6_cluster4_0 = -0.0
cluster6_cluster4_1 = -0.0
cluster6_cluster4_2 = -0.0
cluster6_cluster7_0 = 0.0
cluster6_cluster7_1 = 2.0
cluster6_cluster7_2 = 0.0
cluster6_cluster12_0 = -0.0
