selected_num:22
selected decision variable:cluster0:[4,7,12,15,37,38,44,49],cluster1:[4,7,12,15,37,38,44,49],cluster2:[4,7],cluster3:[4,7,12,15,37,38,44,49],cluster4:[4,7,12,15,37,38,44,49],reward12:[1],reward15:[1],reward37:[1],reward38:[1],reward4:[1],reward44:[1],reward49:[1],reward7:[1]
Formulation_explanation:The formula aims to reduce the average waiting time of vehicles by minimizing the allocation cost and inconvenience cost associated with moving vehicles from supply nodes to demand nodes. By considering the allocation cost `w[i][j]`, which includes both the distance cost `w_hat[i][j]` and a penalty for unsuccessful pickups `b`, the objective function emphasizes efficient allocation of vehicles with different states of charge (SOC) to meet demand while minimizing costs. This approach helps in reducing the average waiting time for vehicles by ensuring a cost-effective allocation strategy.
temp_text:
LEO_optimize_time:10.752181053161621
LEO_result:[2403.867600165907, 0.0]
base_optimize_time:21.318408966064453
base_result:[2403.867600165907, 0.0]
Optimization gap 1: 0.00%
Optimization gap 2: 0.00%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = -0.0
cluster0_cluster7_2 = -0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 1.0
cluster0_cluster12_2 = 3.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = 0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = 0.0
cluster0_cluster37_2 = 0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 2.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = -0.0
cluster0_cluster44_2 = 0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = -0.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = -0.0
cluster1_cluster4_1 = 4.0
cluster1_cluster4_2 = 10.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 1.0
cluster1_cluster7_2 = 0.0
cluster1_cluster12_0 = 0.0
cluster1_cluster12_1 = 6.0
cluster1_cluster12_2 = 8.0
cluster1_cluster15_0 = -0.0
cluster1_cluster15_1 = 0.0
cluster1_cluster15_2 = 3.0
cluster1_cluster37_0 = -0.0
cluster1_cluster37_1 = 8.0
cluster1_cluster37_2 = 0.0
cluster1_cluster38_0 = -0.0
cluster1_cluster38_1 = 2.0
cluster1_cluster38_2 = 0.0
cluster1_cluster44_0 = -0.0
cluster1_cluster44_1 = 2.0
cluster1_cluster44_2 = 2.0
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = 0.0
cluster1_cluster49_2 = 7.0
cluster2_cluster4_0 = 0.0
cluster2_cluster4_1 = 0.0
cluster2_cluster4_2 = 10.0
cluster2_cluster7_0 = 2.0
cluster2_cluster7_1 = 41.0
cluster2_cluster7_2 = 25.0
cluster2_cluster12_0 = 10.0
cluster2_cluster12_1 = 49.0
cluster2_cluster12_2 = 29.0
cluster2_cluster15_0 = 3.0
cluster2_cluster15_1 = 19.0
cluster2_cluster15_2 = 0.0
cluster2_cluster37_0 = 1.0
cluster2_cluster37_1 = -0.0
cluster2_cluster37_2 = -0.0
cluster2_cluster38_0 = 0.0
cluster2_cluster38_1 = 56.0
cluster2_cluster38_2 = 64.0
cluster2_cluster44_0 = -0.0
cluster2_cluster44_1 = 3.0
cluster2_cluster44_2 = 16.0
cluster2_cluster49_0 = -0.0
cluster2_cluster49_1 = -0.0
cluster2_cluster49_2 = 0.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = -0.0
cluster3_cluster4_2 = 0.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = 0.0
cluster3_cluster7_2 = -0.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = 1.0
cluster3_cluster12_2 = 1.0
cluster3_cluster15_0 = 0.0
cluster3_cluster15_1 = -0.0
cluster3_cluster15_2 = 0.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = -0.0
cluster3_cluster37_2 = 0.0
cluster3_cluster38_0 = 0.0
cluster3_cluster38_1 = -0.0
cluster3_cluster38_2 = 0.0
cluster3_cluster44_0 = 1.0
cluster3_cluster44_1 = 0.0
cluster3_cluster44_2 = 0.0
cluster3_cluster49_0 = -0.0
cluster3_cluster49_1 = -0.0
cluster3_cluster49_2 = 0.0
cluster5_cluster4_0 = 0.0
cluster5_cluster4_1 = 0.0
cluster5_cluster4_2 = 0.0
cluster5_cluster7_0 = -0.0
cluster5_cluster7_1 = 1.0
cluster5_cluster7_2 = 0.0
cluster5_cluster12_0 = -0.0
cluster5_cluster12_1 = 0.0
cluster5_cluster12_2 = 0.0
cluster5_cluster15_0 = 1.0
cluster5_cluster15_1 = -0.0
cluster5_cluster15_2 = 1.0
cluster5_cluster37_0 = -0.0
cluster5_cluster37_1 = 0.0
cluster5_cluster37_2 = 0.0
cluster5_cluster38_0 = 0.0
cluster5_cluster38_1 = 0.0
cluster5_cluster38_2 = 1.0
cluster5_cluster44_0 = 0.0
cluster5_cluster44_1 = -0.0
cluster5_cluster44_2 = 0.0
cluster5_cluster49_0 = -0.0
cluster5_cluster49_1 = -0.0
cluster5_cluster49_2 = 1.0
cluster6_cluster4_0 = -0.0
cluster6_cluster4_1 = -0.0
cluster6_cluster4_2 = 0.0
cluster6_cluster7_0 = 0.0
cluster6_cluster7_1 = 2.0
cluster6_cluster7_2 = 0.0
cluster6_cluster12_0 = -0.0
cluster6_cluster12_1 = -0.0
cluster6_cluster12_2 = 0.0
cluster6_cluster15_0 = 1.0
cluster6_cluster15_1 = 0.0
cluster6_cluster15_2 = 0.0
cluster6_cluster37_0 = 0.0
cluster6_cluster37_1 = -0.0
cluster6_cluster37_2 = 1.0
cluster6_cluster38_0 = -0.0
cluster6_cluster38_1 = 0.0
cluster6_cluster38_2 = 0.0
cluster6_cluster44_0 = -0.0
cluster6_cluster44_1 = 0.0
cluster6_cluster44_2 = -0.0
cluster6_cluster49_0 = -0.0
cluster6_cluster49_1 = -0.0
cluster6_cluster49_2 = 1.0
cluster8_cluster4_0 = 0.0
cluster8_cluster4_1 = 0.0
cluster8_cluster4_2 = 0.0
cluster8_cluster7_0 = 0.0
cluster8_cluster7_1 = 0.0
cluster8_cluster7_2 = 2.0
cluster8_cluster12_0 = 0.0
cluster8_cluster12_1 = 0.0
cluster8_cluster12_2 = 1.0
cluster8_cluster15_0 = 0.0
cluster8_cluster15_1 = 0.0
cluster8_cluster15_2 = 0.0
cluster8_cluster37_0 = 0.0
cluster8_cluster37_1 = 0.0
cluster8_cluster37_2 = 1.0
cluster8_cluster38_0 = 0.0
cluster8_cluster38_1 = 0.0
cluster8_cluster38_2 = -0.0
cluster8_cluster44_0 = 0.0
cluster8_cluster44_1 = 0.0
cluster8_cluster44_2 = 1.0
cluster8_cluster49_0 = 0.0
cluster8_cluster49_1 = 0.0
cluster8_cluster49_2 = 0.0
cluster9_cluster4_0 = 0.0
cluster9_cluster4_1 = 0.0
cluster9_cluster4_2 = 0.0
cluster9_cluster7_0 = 0.0
cluster9_cluster7_1 = 1.0
cluster9_cluster7_2 = 1.0
cluster9_cluster12_0 = 0.0
cluster9_cluster12_1 = -0.0
cluster9_cluster12_2 = 1.0
cluster9_cluster15_0 = 1.0
cluster9_cluster15_1 = 0.0
cluster9_cluster15_2 = 0.0
cluster9_cluster37_0 = 0.0
cluster9_cluster37_1 = 0.0
cluster9_cluster37_2 = -0.0
cluster9_cluster38_0 = 0.0
cluster9_cluster38_1 = 1.0
