selected_num:44
selected decision variable:cluster0:[2,3,4,5,6,7,8,9,10],cluster1:[2,3,4,5,6,7,8,9,10],cluster10:[2,3,4,5,6,7,8,9,10],cluster11:[2,3,4,5,6,7,8,9,10],reward12:[2],reward15:[2],reward37:[2],reward38:[2],reward4:[2],reward44:[2],reward49:[2],reward7:[2]
Formulation_explanation:The objective function aims to improve the service level of vehicles by maximizing the total number of vehicles allocated from supply regions to demand regions across all charge levels, weighted by their respective charge levels. This ensures that higher charge level vehicles, which can potentially serve more demand due to longer range, are given priority in allocation to improve service reliability and availability in demand regions. By focusing on maximizing the sum of charge level-weighted allocations, the formula inherently encourages more efficient vehicle utilization and allocation strategies.
temp_text:model.setObjective(gp.quicksum(model.getVarByName(f'avg_reward{j}_{k}') for j in D for k in K), GRB.MAXIMIZE)
LEO_optimize_time:96.53940105438232
LEO_result:[2806.3933503331205, -576.0247918197088]
base_optimize_time:386.63291478157043
base_result:[2826.408429629765, -556.6962180137633]
Optimization gap 1: 0.71%
Optimization gap 2: 3.47%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = 1.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = 1.0
cluster0_cluster37_2 = -0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 0.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = -0.0
cluster0_cluster44_2 = 1.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = -0.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = 0.0
cluster1_cluster4_1 = 2.0
cluster1_cluster4_2 = 0.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 7.0
cluster1_cluster7_2 = 2.0
cluster1_cluster12_0 = 0.0
cluster1_cluster12_1 = 0.0
cluster1_cluster12_2 = 2.0
cluster1_cluster15_0 = 0.0
cluster1_cluster15_1 = -0.0
cluster1_cluster15_2 = 5.0
cluster1_cluster37_0 = 0.0
cluster1_cluster37_1 = 6.0
cluster1_cluster37_2 = 1.0
cluster1_cluster38_0 = 0.0
cluster1_cluster38_1 = -0.0
cluster1_cluster38_2 = 2.0
cluster1_cluster44_0 = 0.0
cluster1_cluster44_1 = -0.0
cluster1_cluster44_2 = 8.0
cluster1_cluster49_0 = 0.0
cluster1_cluster49_1 = 2.0
cluster1_cluster49_2 = 4.0
cluster2_cluster4_0 = -0.0
cluster2_cluster4_1 = 2.0
cluster2_cluster4_2 = -0.0
cluster2_cluster7_0 = -0.0
cluster2_cluster7_1 = 12.0
cluster2_cluster7_2 = 41.0
cluster2_cluster12_0 = -0.0
cluster2_cluster12_1 = 6.0
cluster2_cluster12_2 = 3.0
cluster2_cluster15_0 = -0.0
cluster2_cluster15_1 = 17.0
cluster2_cluster15_2 = -0.0
cluster2_cluster37_0 = -0.0
cluster2_cluster37_1 = 7.0
cluster2_cluster37_2 = -0.0
cluster2_cluster38_0 = -0.0
cluster2_cluster38_1 = 62.0
cluster2_cluster38_2 = 87.0
cluster2_cluster44_0 = -0.0
cluster2_cluster44_1 = 48.0
cluster2_cluster44_2 = -0.0
cluster2_cluster49_0 = -0.0
cluster2_cluster49_1 = -0.0
cluster2_cluster49_2 = -0.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = 1.0
cluster3_cluster4_2 = 0.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = -0.0
cluster3_cluster7_2 = -0.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = -0.0
cluster3_cluster12_2 = 2.0
cluster3_cluster15_0 = 0.0
cluster3_cluster15_1 = -0.0
cluster3_cluster15_2 = 0.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = 0.0
cluster3_cluster37_2 = 1.0
cluster3_cluster38_0 = 0.0
cluster3_cluster38_1 = 0.0
cluster3_cluster38_2 = -0.0
cluster3_cluster44_0 = 0.0
cluster3_cluster44_1 = 0.0
cluster3_cluster44_2 = -0.0
cluster3_cluster49_0 = 0.0
cluster3_cluster49_1 = -0.0
cluster3_cluster49_2 = 0.0
cluster5_cluster4_0 = -0.0
cluster5_cluster4_1 = 2.0
cluster5_cluster4_2 = 3.0
cluster5_cluster7_0 = -0.0
cluster5_cluster7_1 = -0.0
cluster5_cluster7_2 = -0.0
cluster5_cluster12_0 = -0.0
cluster5_cluster12_1 = -0.0
cluster5_cluster12_2 = 0.0
cluster5_cluster15_0 = -0.0
cluster5_cluster15_1 = -0.0
cluster5_cluster15_2 = -0.0
cluster5_cluster37_0 = -0.0
cluster5_cluster37_1 = 1.0
cluster5_cluster37_2 = -0.0
cluster5_cluster38_0 = -0.0
cluster5_cluster38_1 = -0.0
cluster5_cluster38_2 = 1.0
cluster5_cluster44_0 = -0.0
cluster5_cluster44_1 = 0.0
cluster5_cluster44_2 = -0.0
cluster5_cluster49_0 = -0.0
cluster5_cluster49_1 = -0.0
cluster5_cluster49_2 = 0.0
cluster6_cluster4_0 = -0.0
cluster6_cluster4_1 = -0.0
cluster6_cluster4_2 = 1.0
cluster6_cluster7_0 = -0.0
cluster6_cluster7_1 = -0.0
cluster6_cluster7_2 = 0.0
cluster6_cluster12_0 = -0.0
cluster6_cluster12_1 = -0.0
cluster6_cluster12_2 = -0.0
cluster6_cluster15_0 = -0.0
cluster6_cluster15_1 = -0.0
cluster6_cluster15_2 = -0.0
cluster6_cluster37_0 = -0.0
cluster6_cluster37_1 = 3.0
cluster6_cluster37_2 = -0.0
cluster6_cluster38_0 = -0.0
cluster6_cluster38_1 = -0.0
cluster6_cluster38_2 = 1.0
cluster6_cluster44_0 = 1.0
cluster6_cluster44_1 = -0.0
cluster6_cluster44_2 = 0.0
cluster6_cluster49_0 = -0.0
cluster6_cluster49_1 = -0.0
cluster6_cluster49_2 = -0.0
cluster8_cluster4_0 = 0.0
cluster8_cluster4_1 = -0.0
cluster8_cluster4_2 = 0.0
cluster8_cluster7_0 = 0.0
cluster8_cluster7_1 = -0.0
cluster8_cluster7_2 = 2.0
cluster8_cluster12_0 = 0.0
cluster8_cluster12_1 = 1.0
cluster8_cluster12_2 = -0.0
cluster8_cluster15_0 = 0.0
cluster8_cluster15_1 = -0.0
cluster8_cluster15_2 = -0.0
cluster8_cluster37_0 = 0.0
cluster8_cluster37_1 = -0.0
cluster8_cluster37_2 = 1.0
cluster8_cluster38_0 = 0.0
cluster8_cluster38_1 = -0.0
cluster8_cluster38_2 = 1.0
cluster8_cluster44_0 = 0.0
cluster8_cluster44_1 = 0.0
cluster8_cluster44_2 = -0.0
cluster8_cluster49_0 = 0.0
cluster8_cluster49_1 = 0.0
cluster8_cluster49_2 = -0.0
cluster9_cluster4_0 = -0.0
cluster9_cluster4_1 = 0.0
cluster9_cluster4_2 = -0.0
cluster9_cluster7_0 = -0.0
cluster9_cluster7_1 = -0.0
cluster9_cluster7_2 = -0.0
cluster9_cluster12_0 = -0.0
cluster9_cluster12_1 = -0.0
cluster9_cluster12_2 = 1.0
cluster9_cluster15_0 = -0.0
cluster9_cluster15_1 = 0.0
cluster9_cluster15_2 = -0.0
cluster9_cluster37_0 = -0.0
cluster9_cluster37_1 = -0.0
cluster9_cluster37_2 = 2.0
cluster9_cluster38_0 = -0.0
cluster9_cluster38_1 = -0.0
cluster9_cluster38_2 = -0.0
cluster9_cluster44_0 = -0.0
cluster9_cluster44_1 = 1.0
cluster9_cluster44_2 = -0.0
cluster9_cluster49_0 = -0.0
