selected_num:44
selected decision variable:cluster0:[2,3,4,5,6,7,8,9,10],cluster1:[2,3,4,5,6,7,8,9,10],cluster10:[2,3,4,5,6,7,8,9,10],cluster11:[2,3,4,5,6,7,8,9,10],reward12:[2],reward15:[2],reward37:[2],reward38:[2],reward4:[2],reward44:[2],reward49:[2],reward7:[2]
Formulation_explanation:The objective is to reduce the average travel price of the vehicles by minimizing the total cost associated with allocating vehicles from supply nodes to demand nodes. This includes both the allocation cost and inconvenience cost, which are dependent on the distance between supply and demand regions and the state of charge of the vehicles. The allocation cost represents the financial implications of assigning vehicles from supply to demand regions, while the inconvenience cost accounts for the potential discomfort faced by drivers during this process. By minimizing the sum of these costs weighted by the state of charge, we aim to efficiently manage the fleet to reduce the overall travel price for the users.
temp_text:
LEO_optimize_time:21.828811168670654
LEO_result:[2806.3933503331205, 0.0]
base_optimize_time:41.9076087474823
base_result:[2826.408429629765, 0.0]
Optimization gap 1: 0.71%
Optimization gap 2: 0.00%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = 1.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = 1.0
cluster0_cluster37_2 = 1.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 0.0
cluster0_cluster38_2 = 0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = -0.0
cluster0_cluster44_2 = 1.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = 0.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = 0.0
cluster1_cluster4_1 = 2.0
cluster1_cluster4_2 = 0.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 7.0
cluster1_cluster7_2 = 2.0
cluster1_cluster12_0 = 0.0
cluster1_cluster12_1 = 0.0
cluster1_cluster12_2 = 2.0
cluster1_cluster15_0 = 0.0
cluster1_cluster15_1 = -0.0
cluster1_cluster15_2 = 5.0
cluster1_cluster37_0 = 0.0
cluster1_cluster37_1 = 6.0
cluster1_cluster37_2 = 2.0
cluster1_cluster38_0 = 0.0
cluster1_cluster38_1 = -0.0
cluster1_cluster38_2 = 2.0
cluster1_cluster44_0 = 0.0
cluster1_cluster44_1 = 0.0
cluster1_cluster44_2 = 8.0
cluster1_cluster49_0 = 0.0
cluster1_cluster49_1 = 2.0
cluster1_cluster49_2 = 4.0
cluster2_cluster4_0 = -0.0
cluster2_cluster4_1 = 2.0
cluster2_cluster4_2 = -0.0
cluster2_cluster7_0 = -0.0
cluster2_cluster7_1 = 12.0
cluster2_cluster7_2 = 29.0
cluster2_cluster12_0 = -0.0
cluster2_cluster12_1 = 6.0
cluster2_cluster12_2 = 3.0
cluster2_cluster15_0 = -0.0
cluster2_cluster15_1 = 17.0
cluster2_cluster15_2 = 0.0
cluster2_cluster37_0 = -0.0
cluster2_cluster37_1 = 7.0
cluster2_cluster37_2 = 0.0
cluster2_cluster38_0 = -0.0
cluster2_cluster38_1 = 62.0
cluster2_cluster38_2 = 87.0
cluster2_cluster44_0 = -0.0
cluster2_cluster44_1 = 63.0
cluster2_cluster44_2 = 0.0
cluster2_cluster49_0 = -0.0
cluster2_cluster49_1 = -0.0
cluster2_cluster49_2 = 1.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = 1.0
