selected_num:24
selected decision variable:cluster0:[1,2,5,10],cluster1:[1,5,8,10],cluster2:[2,5],cluster3:[2,4],cluster5:[2,5],cluster6:[7,10],cluster8:[2,6],cluster9:[2,5],reward12:[2,3],reward15:[2,3]
Formulation_explanation:The meaning of the formula is to reduce the average waiting time of vehicles by minimizing the total allocation cost across all supply and demand regions and SOC levels. By summing up the allocation costs, which combine the inconvenience cost and unsuccessful pick-up cost, we aim to optimize the allocation of vehicles to reduce waiting time efficiently. This approach ensures that vehicles are allocated where they are needed most, minimizing the costs associated with waiting and unsuccessful allocations. The formula sums up the allocation costs weighted by the number of vehicles allocated to each demand region, considering both the supply and demand dynamics.
temp_text:
LEO_optimize_time:24.30753779411316
LEO_result:[2812.5774222945797, 0.0]
base_optimize_time:41.56592321395874
base_result:[2826.408429629765, 0.0]
Optimization gap 1: 0.49%
Optimization gap 2: 0.00%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = -0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = -0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = -0.0
cluster0_cluster12_2 = 1.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = -0.0
cluster0_cluster15_2 = 1.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = 2.0
cluster0_cluster37_2 = 1.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = -0.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = -0.0
cluster0_cluster44_2 = -0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = 0.0
cluster0_cluster49_2 = 0.0
cluster1_cluster4_0 = 0.0
cluster1_cluster4_1 = 4.0
cluster1_cluster4_2 = -0.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 7.0
cluster1_cluster7_2 = -0.0
cluster1_cluster12_0 = 0.0
cluster1_cluster12_1 = 0.0
cluster1_cluster12_2 = 5.0
cluster1_cluster15_0 = 0.0
cluster1_cluster15_1 = -0.0
cluster1_cluster15_2 = 3.0
cluster1_cluster37_0 = 0.0
cluster1_cluster37_1 = -0.0
cluster1_cluster37_2 = 1.0
cluster1_cluster38_0 = 0.0
cluster1_cluster38_1 = 5.0
cluster1_cluster38_2 = 6.0
cluster1_cluster44_0 = 0.0
cluster1_cluster44_1 = -0.0
cluster1_cluster44_2 = -0.0
cluster1_cluster49_0 = 0.0
cluster1_cluster49_1 = 2.0
cluster1_cluster49_2 = 0.0
cluster2_cluster4_0 = -0.0
cluster2_cluster4_1 = 2.0
cluster2_cluster4_2 = -0.0
cluster2_cluster7_0 = -0.0
cluster2_cluster7_1 = 12.0
cluster2_cluster7_2 = 64.0
cluster2_cluster12_0 = -0.0
cluster2_cluster12_1 = 6.0
cluster2_cluster12_2 = -0.0
cluster2_cluster15_0 = -0.0
cluster2_cluster15_1 = 6.0
cluster2_cluster15_2 = 30.0
cluster2_cluster37_0 = -0.0
cluster2_cluster37_1 = 18.0
cluster2_cluster37_2 = -0.0
cluster2_cluster38_0 = -0.0
cluster2_cluster38_1 = 54.0
cluster2_cluster38_2 = 87.0
cluster2_cluster44_0 = -0.0
cluster2_cluster44_1 = -0.0
cluster2_cluster44_2 = 0.0
cluster2_cluster49_0 = -0.0
cluster2_cluster49_1 = -0.0
cluster2_cluster49_2 = -0.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = 0.0
cluster3_cluster4_2 = 0.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = 0.0
cluster3_cluster7_2 = 2.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = -0.0
cluster3_cluster12_2 = -0.0
cluster3_cluster15_0 = 0.0
cluster3_cluster15_1 = 1.0
cluster3_cluster15_2 = 0.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = -0.0
cluster3_cluster37_2 = -0.0
cluster3_cluster38_0 = 0.0
cluster3_cluster38_1 = 0.0
cluster3_cluster38_2 = 0.0
cluster3_cluster44_0 = 0.0
cluster3_cluster44_1 = 1.0
cluster3_cluster44_2 = -0.0
cluster3_cluster49_0 = 0.0
cluster3_cluster49_1 = -0.0
cluster3_cluster49_2 = 0.0
cluster5_cluster4_0 = -0.0
cluster5_cluster4_1 = 2.0
cluster5_cluster4_2 = 1.0
cluster5_cluster7_0 = -0.0
cluster5_cluster7_1 = 0.0
cluster5_cluster7_2 = 2.0
cluster5_cluster12_0 = -0.0
cluster5_cluster12_1 = -0.0
cluster5_cluster12_2 = 0.0
cluster5_cluster15_0 = -0.0
cluster5_cluster15_1 = 0.0
cluster5_cluster15_2 = -0.0
cluster5_cluster37_0 = -0.0
cluster5_cluster37_1 = 0.0
cluster5_cluster37_2 = 0.0
cluster5_cluster38_0 = -0.0
cluster5_cluster38_1 = 3.0
cluster5_cluster38_2 = 1.0
cluster5_cluster44_0 = -0.0
cluster5_cluster44_1 = -0.0
cluster5_cluster44_2 = -0.0
cluster5_cluster49_0 = -0.0
cluster5_cluster49_1 = -0.0
cluster5_cluster49_2 = 0.0
cluster6_cluster4_0 = -0.0
cluster6_cluster4_1 = -0.0
cluster6_cluster4_2 = 1.0
cluster6_cluster7_0 = -0.0
cluster6_cluster7_1 = 1.0
cluster6_cluster7_2 = -0.0
cluster6_cluster12_0 = 0.0
cluster6_cluster12_1 = -0.0
cluster6_cluster12_2 = -0.0
cluster6_cluster15_0 = 0.0
cluster6_cluster15_1 = 0.0
cluster6_cluster15_2 = 0.0
cluster6_cluster37_0 = 0.0
cluster6_cluster37_1 = 2.0
cluster6_cluster37_2 = 0.0
cluster6_cluster38_0 = 0.0
cluster6_cluster38_1 = 0.0
cluster6_cluster38_2 = -0.0
cluster6_cluster44_0 = 0.0
cluster6_cluster44_1 = -0.0
cluster6_cluster44_2 = 0.0
cluster6_cluster49_0 = -0.0
cluster6_cluster49_1 = 0.0
cluster6_cluster49_2 = 1.0
cluster8_cluster4_0 = 0.0
cluster8_cluster4_1 = 0.0
cluster8_cluster4_2 = -0.0
cluster8_cluster7_0 = 0.0
cluster8_cluster7_1 = -0.0
cluster8_cluster7_2 = 1.0
cluster8_cluster12_0 = 0.0
cluster8_cluster12_1 = 1.0
cluster8_cluster12_2 = 0.0
cluster8_cluster15_0 = 0.0
cluster8_cluster15_1 = -0.0
cluster8_cluster15_2 = 0.0
cluster8_cluster37_0 = 0.0
cluster8_cluster37_1 = -0.0
cluster8_cluster37_2 = 1.0
cluster8_cluster38_0 = 0.0
cluster8_cluster38_1 = -0.0
cluster8_cluster38_2 = -0.0
cluster8_cluster44_0 = 0.0
