selected_num:45
selected decision variable:cluster0:[2,3,6,8,10,12,14,16,18],cluster1:[2,6,8,10,12,16,18],cluster10:[2,8,12,16],cluster11:[6,10,12,16],cluster14:[2,8,10,12,16],cluster2:[6,8,12,16],cluster3:[6,8,12,16],reward12:[2],reward15:[2],reward37:[2],reward38:[2],reward4:[2],reward44:[2],reward49:[2],reward7:[2]
Formulation_explanation:The meaning of the formula is to improve the average passenger capacity of vehicles by maximizing the weighted allocation of vehicles based on their state of charge (SOC). Higher SOC levels (represented by k+1) are prioritized since they can potentially serve more passengers or cover longer distances. Therefore, the formula sums up the allocation of vehicles from supply regions to demand regions, weighted by their SOC level, to ensure that vehicles with higher SOC are utilized effectively to meet demand.
temp_text:model.setObjective(gp.quicksum((k+1) * model.getVarByName(f'cluster{i}_cluster{j}_{k}') for i in S for j in D for k in K), GRB.MAXIMIZE)
LEO_optimize_time:2.918712615966797
LEO_result:[1937.2678511668064, -1061.0]
base_optimize_time:15.93029499053955
base_result:[1938.5351660636984, -1051.0]
Optimization gap 1: 0.07%
Optimization gap 2: 0.95%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = -0.0
cluster0_cluster7_2 = 1.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = -0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = -0.0
cluster0_cluster15_2 = 1.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = 0.0
cluster0_cluster37_2 = -0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = -0.0
cluster0_cluster38_2 = 0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = 0.0
cluster0_cluster44_2 = -0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = -0.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = -0.0
cluster1_cluster4_1 = 3.0
cluster1_cluster4_2 = 0.0
cluster1_cluster7_0 = -0.0
cluster1_cluster7_1 = -0.0
cluster1_cluster7_2 = 2.0
cluster1_cluster12_0 = -0.0
cluster1_cluster12_1 = 0.0
cluster1_cluster12_2 = 0.0
cluster1_cluster15_0 = 0.0
cluster1_cluster15_1 = -0.0
cluster1_cluster15_2 = 7.0
cluster1_cluster37_0 = 2.0
cluster1_cluster37_1 = -0.0
cluster1_cluster37_2 = 3.0
cluster1_cluster38_0 = 0.0
cluster1_cluster38_1 = -0.0
cluster1_cluster38_2 = 2.0
cluster1_cluster44_0 = -0.0
cluster1_cluster44_1 = 6.0
cluster1_cluster44_2 = 7.0
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = 0.0
cluster1_cluster49_2 = -0.0
cluster2_cluster4_0 = 0.0
cluster2_cluster4_1 = -0.0
cluster2_cluster4_2 = -0.0
cluster2_cluster7_0 = 4.0
cluster2_cluster7_1 = 58.0
cluster2_cluster7_2 = 1.0
cluster2_cluster12_0 = 24.0
cluster2_cluster12_1 = 41.0
cluster2_cluster12_2 = 42.0
cluster2_cluster15_0 = -0.0
cluster2_cluster15_1 = -0.0
cluster2_cluster15_2 = 20.0
cluster2_cluster37_0 = 4.0
cluster2_cluster37_1 = -0.0
cluster2_cluster37_2 = 8.0
cluster2_cluster38_0 = 1.0
cluster2_cluster38_1 = -0.0
cluster2_cluster38_2 = -0.0
cluster2_cluster44_0 = -0.0
cluster2_cluster44_1 = -0.0
cluster2_cluster44_2 = -0.0
cluster2_cluster49_0 = 1.0
cluster2_cluster49_1 = -0.0
cluster2_cluster49_2 = 14.0
