selected_num:33
selected decision variable:cluster0:[2,6,9,11,14,20,22],cluster1:[2,6,9,11,20],cluster10:[2,6,9,11,20],cluster11:[6,9,20],cluster14:[2,6,9],reward12:[2,3],reward15:[1,2],reward37:[2],reward38:[2],reward4:[2],reward44:[2],reward49:[2],reward7:[2]
Formulation_explanation:The formula is designed to maximize the allocation of vehicles from supply nodes to demand nodes while considering the state of charge (SOC) of the vehicles. By summing over all supply nodes, demand nodes, and SOC levels, and multiplying by the SOC level plus one, the formula aims to enhance the service level by preferring allocations of vehicles with higher SOC. This approach ensures that vehicles are optimally utilized, providing better service in terms of availability and readiness for longer trips.
temp_text:model.setObjective(gp.quicksum(model.getVarByName(f'avg_reward{j}_{k}') for j in D for k in K), GRB.MAXIMIZE)
LEO_optimize_time:9.67101001739502
LEO_result:[1932.7943259428891, -524.3949122769493]
base_optimize_time:13.33840298652649
base_result:[1938.4898242775823, -399.518572807312]
Optimization gap 1: 0.29%
Optimization gap 2: 31.26%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = -0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 1.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = 2.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = 0.0
cluster0_cluster37_2 = 2.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = -0.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = 0.0
cluster0_cluster44_2 = -0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = 0.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = 0.0
cluster1_cluster4_1 = 3.0
cluster1_cluster4_2 = 9.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = -0.0
cluster1_cluster7_2 = 2.0
cluster1_cluster12_0 = -0.0
cluster1_cluster12_1 = -0.0
cluster1_cluster12_2 = 1.0
cluster1_cluster15_0 = 0.0
cluster1_cluster15_1 = 0.0
cluster1_cluster15_2 = 7.0
cluster1_cluster37_0 = 2.0
cluster1_cluster37_1 = -0.0
cluster1_cluster37_2 = 3.0
cluster1_cluster38_0 = -0.0
cluster1_cluster38_1 = 0.0
cluster1_cluster38_2 = 3.0
cluster1_cluster44_0 = 0.0
cluster1_cluster44_1 = 8.0
cluster1_cluster44_2 = 7.0
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = -0.0
cluster1_cluster49_2 = -0.0
cluster2_cluster4_0 = 3.0
cluster2_cluster4_1 = 0.0
cluster2_cluster4_2 = 0.0
cluster2_cluster7_0 = 4.0
cluster2_cluster7_1 = 58.0
cluster2_cluster7_2 = 2.0
cluster2_cluster12_0 = 24.0
cluster2_cluster12_1 = 36.0
cluster2_cluster12_2 = 42.0
cluster2_cluster15_0 = -0.0
cluster2_cluster15_1 = -0.0
cluster2_cluster15_2 = 20.0
cluster2_cluster37_0 = 4.0
cluster2_cluster37_1 = -0.0
cluster2_cluster37_2 = 8.0
cluster2_cluster38_0 = -0.0
cluster2_cluster38_1 = 0.0
cluster2_cluster38_2 = 2.0
cluster2_cluster44_0 = 0.0
cluster2_cluster44_1 = 5.0
cluster2_cluster44_2 = 5.0
cluster2_cluster49_0 = 1.0
cluster2_cluster49_1 = -0.0
cluster2_cluster49_2 = 19.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = 0.0
cluster3_cluster4_2 = -0.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = 1.0
cluster3_cluster7_2 = -0.0
cluster3_cluster12_0 = -0.0
cluster3_cluster12_1 = -0.0
cluster3_cluster12_2 = 1.0
cluster3_cluster15_0 = 0.0
cluster3_cluster15_1 = 0.0
cluster3_cluster15_2 = -0.0
