selected_num:349
selected decision variable:cluster0:[2,4,6,8,10,12,14,16,18,20],cluster1:[2,4,6,8,10,12,14,16,18,20],cluster2:[2,4,6,8,10,12,14,16,18],cluster3:[2,4,6,8,10,12,14,16],cluster4:[2,4,6,8,10,12,14,16],cluster5:[2,4,6,8,10,12,14,16],cluster6:[2,4,6,8,10,12,14,16],cluster7:[2,4,6,8,10,12,14,16],cluster8:[2,4,6,8,10,12,14,16],cluster9:[2,4,6,8,10,12,14,16],cluster10:[2,4,6,8,10,12,14,16],cluster11:[2,4,6,8,10,12,14,16],cluster13:[2,4,6,8,10,12,14,16],cluster14:[2,4,6,8,10,12,14,16],cluster16:[2,4,6,8,10,12,14,16],cluster17:[2,4,6,8,10,12,14,16],cluster18:[2,4,6,8,10,12,14,16],cluster19:[2,4,6,8,10,12,14,16],cluster20:[2,4,6,8,10,12,14,16],cluster21:[2,4,6,8,10,12,14,16],cluster22:[2,4,6,8,10,12,14,16],cluster23:[2,4,6,8,10,12,14,16],cluster24:[2,4,6,8,10,12,14,16],cluster25:[2,4,6,8,10,12,14,16],cluster26:[2,4,6,8,10,12,14,16],cluster27:[2,4,6,8,10,12,14,16],cluster28:[2,4,6,8,10,12,14,16],cluster29:[2,4,6,8,10,12,14,16],cluster30:[2,4,6,8,10,12,14,16],cluster31:[2,4,6,8,10,12,14,16],cluster32:[2,4,6,8,10,12,14,16],cluster33:[2,4,6,8,10,12,14,16],cluster34:[2,4,6,8,10,12,14,16],cluster35:[2,4,6,8,10,12,14,16],cluster36:[2,4,6,8,10,12,14,16],cluster39:[2,4,6,8,10,12,14,16],cluster40:[2,4,6,8,10,12,14,16],cluster41:[2,4,6,8,10,12,14,16],cluster42:[2,4,6,8,10,12,14,16],cluster43:[2,4,6,8,10,12,14,16],cluster45:[2,4,6,8,10,12,14,16],cluster46:[2,4,6,8,10,12,14,16],cluster47:[2,4,6,8,10,12,14,16],cluster48:[2,4,6,8,10,12,14,16],reward4:[2],reward7:[2],reward12:[2],reward15:[2],reward37:[2],reward38:[2],reward44:[2],reward49:[2]
Formulation_explanation:The meaning of the formula is: To improve the service level of vehicles, we aim to maximize the allocation of vehicles with higher states of charge (SOC) to demand regions. This is done by summing up the allocations of vehicles with medium and high SOC levels, weighted by their SOC level to prioritize higher SOC. This ensures that regions with demand receive vehicles that can serve them efficiently, potentially improving service reliability and user satisfaction.
temp_text:
LEO_optimize_time:0.4825868606567383
LEO_result:[1793.8038328698572, 0.0]
base_optimize_time:2.8266031742095947
base_result:[1898.0164721454614, 0.0]
Optimization gap 1: 5.49%
Optimization gap 2: 0.00%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 2.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 1.0
cluster0_cluster15_2 = 0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = 0.0
cluster0_cluster37_2 = 1.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 0.0
cluster0_cluster38_2 = 0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = 0.0
cluster0_cluster44_2 = 2.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = 0.0
cluster0_cluster49_2 = 0.0
cluster1_cluster4_0 = 0.0
cluster1_cluster4_1 = 0.0
cluster1_cluster4_2 = 0.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 3.0
cluster1_cluster7_2 = 0.0
cluster1_cluster12_0 = 0.0
cluster1_cluster12_1 = 0.0
cluster1_cluster12_2 = 14.0
cluster1_cluster15_0 = 0.0
cluster1_cluster15_1 = 5.0
cluster1_cluster15_2 = 0.0
cluster1_cluster37_0 = 0.0
cluster1_cluster37_1 = 1.0
cluster1_cluster37_2 = 12.0
cluster1_cluster38_0 = 0.0
cluster1_cluster38_1 = 0.0
cluster1_cluster38_2 = 10.0
cluster1_cluster44_0 = 0.0
cluster1_cluster44_1 = 0.0
cluster1_cluster44_2 = 0.0
cluster1_cluster49_0 = 0.0
cluster1_cluster49_1 = 0.0
cluster1_cluster49_2 = 2.0
cluster2_cluster4_0 = -0.0
cluster2_cluster4_1 = 2.0
cluster2_cluster4_2 = 0.0
cluster2_cluster7_0 = 0.0
cluster2_cluster7_1 = 4.0
cluster2_cluster7_2 = 53.0
cluster2_cluster12_0 = -0.0
cluster2_cluster12_1 = 2.0
cluster2_cluster12_2 = 12.0
cluster2_cluster15_0 = 0.0
cluster2_cluster15_1 = 6.0
cluster2_cluster15_2 = 0.0
cluster2_cluster37_0 = -0.0
cluster2_cluster37_1 = 30.0
cluster2_cluster37_2 = 25.0
cluster2_cluster38_0 = 0.0
cluster2_cluster38_1 = 0.0
cluster2_cluster38_2 = 127.0
cluster2_cluster44_0 = -0.0
cluster2_cluster44_1 = 30.0
cluster2_cluster44_2 = 49.0
cluster2_cluster49_0 = -0.0
cluster2_cluster49_1 = 3.0
cluster2_cluster49_2 = 0.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = 0.0
cluster3_cluster4_2 = 0.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = 1.0
cluster3_cluster7_2 = 0.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = 0.0
cluster3_cluster12_2 = 1.0
cluster3_cluster15_0 = 0.0
cluster3_cluster15_1 = 1.0
cluster3_cluster15_2 = 0.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = 0.0
cluster3_cluster37_2 = 1.0
cluster3_cluster38_0 = 0.0
cluster3_cluster38_1 = 0.0
cluster3_cluster38_2 = 2.0
cluster3_cluster44_0 = 1.0
cluster3_cluster44_1 = 0.0
cluster3_cluster44_2 = 2.0
cluster3_cluster49_0 = 0.0
cluster3_cluster49_1 = 0.0
cluster3_cluster49_2 = -0.0
cluster5_cluster4_0 = 0.0
cluster5_cluster4_1 = 0.0
cluster5_cluster4_2 = 0.0
cluster5_cluster7_0 = 0.0
cluster5_cluster7_1 = 0.0
cluster5_cluster7_2 = 0.0
cluster5_cluster12_0 = 0.0
cluster5_cluster12_1 = 0.0
cluster5_cluster12_2 = 4.0
cluster5_cluster15_0 = 0.0
cluster5_cluster15_1 = 1.0
cluster5_cluster15_2 = 0.0
cluster5_cluster37_0 = 0.0
cluster5_cluster37_1 = 1.0
cluster5_cluster37_2 = 0.0
cluster5_cluster38_0 = 0.0
cluster5_cluster38_1 = 0.0
cluster5_cluster38_2 = 3.0
cluster5_cluster44_0 = 0.0
cluster5_cluster44_1 = 1.0
cluster5_cluster44_2 = 1.0
cluster5_cluster49_0 = 0.0
cluster5_cluster49_1 = 2.0
cluster5_cluster49_2 = 0.0
