selected_num:81
selected decision variable:cluster0:[2,7,8,9,10,11,12,13,15],cluster1:[2,5,6,8,9,10,12,14,15],cluster2:[2,5,6,8,9,10,12,14,15],cluster3:[2,5,6,8,9,10,12,14,15],cluster5:[2,5,6,8,9,10,12,14,15],cluster6:[2,5,6,8,9,10,12,14,15],cluster8:[2,5,6,8,9,10,12,14,15],cluster9:[2,5,6,8,9,10,12,14,15],reward12:[1,2],reward15:[1],reward37:[1],reward38:[1],reward4:[1],reward44:[1],reward49:[1],reward7:[1]
Formulation_explanation:The objective function aims to improve user satisfaction of vehicles by maximizing the allocation of vehicles with a higher state of charge (SOC) to demand regions. This is achieved by focusing on allocating vehicles that have higher levels of charge (k * avg_reward{j}_{k}) to maximize the potential revenue and thus the user satisfaction. The decision variable cluster{i}_cluster{j}_{k} represents the allocation of these vehicles, ensuring that more charged vehicles are prioritized, which is important for maintaining service quality and user satisfaction. Therefore, the goal is to maximize the sum of the product of the state of charge level and the expected revenue across all supply and demand regions.
temp_text:
LEO_optimize_time:0.7437629699707031
LEO_result:[1845.842581417362, 0.0]
base_optimize_time:2.8380637168884277
base_result:[1898.0164721454614, 0.0]
Optimization gap 1: 2.75%
Optimization gap 2: 0.00%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = -0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = -0.0
cluster0_cluster7_2 = -0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 1.0
cluster0_cluster15_2 = 0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = -0.0
cluster0_cluster37_2 = 1.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 0.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = -0.0
cluster0_cluster44_2 = 4.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = 0.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = 0.0
cluster1_cluster4_1 = 0.0
cluster1_cluster4_2 = -0.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 3.0
cluster1_cluster7_2 = 0.0
cluster1_cluster12_0 = 0.0
cluster1_cluster12_1 = 0.0
cluster1_cluster12_2 = 11.0
cluster1_cluster15_0 = 0.0
cluster1_cluster15_1 = 5.0
cluster1_cluster15_2 = 0.0
cluster1_cluster37_0 = 0.0
cluster1_cluster37_1 = 1.0
cluster1_cluster37_2 = 12.0
cluster1_cluster38_0 = 0.0
cluster1_cluster38_1 = -0.0
cluster1_cluster38_2 = 10.0
cluster1_cluster44_0 = 0.0
cluster1_cluster44_1 = -0.0
cluster1_cluster44_2 = -0.0
cluster1_cluster49_0 = 0.0
cluster1_cluster49_1 = -0.0
cluster1_cluster49_2 = 0.0
cluster2_cluster4_0 = -0.0
cluster2_cluster4_1 = 2.0
cluster2_cluster4_2 = 0.0
cluster2_cluster7_0 = -0.0
