selected_num:9
selected decision variable:Thereasonforvariableselectionisbasedonminimizingimpactonprofit,focusingondecisionvariablesthatshowedconsistentcontributions,soselecteddecisionvariablesare:cluster0:[1,2,3,4,5,6],reward12:[1,2,3]
Formulation_explanation:The objective function is designed to improve the number of users covered by vehicles by maximizing the total allocation of vehicles with different SOC levels from supply regions to demand regions. Each allocation of a vehicle with a higher SOC level is given a progressively higher weight (k+1), reflecting the increased capacity to service users. This ensures that vehicles with higher charge levels, which can cover more users or travel longer distances, are prioritized in the allocation process. Therefore, the formula aggregates the weighted allocations for all vehicles across all supply and demand regions.
temp_text:model.setObjective(gp.quicksum((k+1) * model.getVarByName(f'cluster{i}_cluster{j}_{k}') for i in S for j in D for k in K), GRB.MAXIMIZE)
LEO_optimize_time:12.368179082870483
LEO_result:[2922.2986350998654, -1128.0]
base_optimize_time:12.367539882659912
base_result:[2926.8679207748355, -1125.0]
Optimization gap 1: 0.16%
Optimization gap 2: 0.27%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = -0.0
cluster0_cluster12_2 = -0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = -0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = -0.0
cluster0_cluster37_2 = -0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 2.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = -0.0
cluster0_cluster44_2 = -0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = -0.0
cluster0_cluster49_2 = 0.0
cluster1_cluster4_0 = -0.0
cluster1_cluster4_1 = 3.0
cluster1_cluster4_2 = 5.0
cluster1_cluster7_0 = -0.0
cluster1_cluster7_1 = 3.0
cluster1_cluster7_2 = 2.0
cluster1_cluster12_0 = -0.0
cluster1_cluster12_1 = 3.0
cluster1_cluster12_2 = -0.0
cluster1_cluster15_0 = -0.0
cluster1_cluster15_1 = 0.0
cluster1_cluster15_2 = -0.0
cluster1_cluster37_0 = -0.0
cluster1_cluster37_1 = -0.0
cluster1_cluster37_2 = 3.0
cluster1_cluster38_0 = -0.0
cluster1_cluster38_1 = 0.0
