selected_num:9
selected decision variable:cluster0:[1,2,...,24],cluster1:[1,2,...,24],...,cluster17:[1,2,...,24],reward12:[1,2,3],reward15:[1,2,3],reward44:[1,2,3]
Formulation_explanation:The meaning of the formula is to maximize the average passenger capacity of vehicles by allocating vehicles with different states of charge (SOC) from supply nodes to demand nodes. This is achieved by summing the product of the SOC level and the allocation decision variable for each vehicle from a supply node to a demand node. By focusing on the SOC level (k+1), we inherently favor higher SOC vehicles, which can potentially serve more passengers before needing a recharge. This helps improve the average passenger capacity of vehicles deployed in the network.
temp_text:model.setObjective(gp.quicksum((k+1) * model.getVarByName(f'cluster{i}_cluster{j}_{k}') for i in S for j in D for k in K), GRB.MAXIMIZE)
LEO_optimize_time:10.89678430557251
LEO_result:[2922.2986350998654, -1128.0]
base_optimize_time:10.833120107650757
base_result:[2926.8679207748355, -1125.0]
Optimization gap 1: 0.16%
Optimization gap 2: 0.27%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = -0.0
cluster0_cluster4_2 = -0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = -0.0
cluster0_cluster7_2 = -0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = -0.0
cluster0_cluster12_2 = -0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = -0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = -0.0
cluster0_cluster37_2 = -0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 2.0
cluster0_cluster38_2 = 0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = -0.0
cluster0_cluster44_2 = -0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = -0.0
cluster0_cluster49_2 = 0.0
cluster1_cluster4_0 = -0.0
cluster1_cluster4_1 = 3.0
cluster1_cluster4_2 = 5.0
cluster1_cluster7_0 = -0.0
cluster1_cluster7_1 = 3.0
cluster1_cluster7_2 = 2.0
cluster1_cluster12_0 = -0.0
cluster1_cluster12_1 = 3.0
cluster1_cluster12_2 = -0.0
cluster1_cluster15_0 = -0.0
cluster1_cluster15_1 = 0.0
cluster1_cluster15_2 = -0.0
cluster1_cluster37_0 = -0.0
cluster1_cluster37_1 = -0.0
cluster1_cluster37_2 = 3.0
cluster1_cluster38_0 = -0.0
cluster1_cluster38_1 = 0.0
cluster1_cluster38_2 = -0.0
cluster1_cluster44_0 = -0.0
cluster1_cluster44_1 = -0.0
cluster1_cluster44_2 = -0.0
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = 0.0
cluster1_cluster49_2 = -0.0
cluster2_cluster4_0 = 0.0
cluster2_cluster4_1 = 10.0
cluster2_cluster4_2 = -0.0
cluster2_cluster7_0 = 0.0
cluster2_cluster7_1 = 30.0
cluster2_cluster7_2 = 81.0
cluster2_cluster12_0 = 0.0
cluster2_cluster12_1 = 13.0
cluster2_cluster12_2 = 64.0
cluster2_cluster15_0 = 0.0
cluster2_cluster15_1 = 4.0
cluster2_cluster15_2 = -0.0
cluster2_cluster37_0 = 0.0
cluster2_cluster37_1 = 0.0
cluster2_cluster37_2 = 0.0
cluster2_cluster38_0 = 0.0
cluster2_cluster38_1 = -0.0
cluster2_cluster38_2 = 54.0
cluster2_cluster44_0 = 0.0
cluster2_cluster44_1 = -0.0
cluster2_cluster44_2 = 0.0
cluster2_cluster49_0 = 0.0
cluster2_cluster49_1 = 15.0
cluster2_cluster49_2 = 0.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = 0.0
cluster3_cluster4_2 = 0.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = -0.0
