selected_num:24
selected decision variable:cluster0:[1,2,3,4,5,6,7,8,9,10],cluster1:[11,12,13,14,15,16,17,18,19,20],cluster10:[21,22,23,24,25,26,27,28,29,30],cluster11:[31,32,33,34,35,36,37,38,39,40],cluster2:[41,42,43,44,45,46,47,48,49,50],cluster3:[51,52,53,54,55,56,57,58,59,60],cluster5:[61,62,63,64,65,66,67,68,69,70],cluster6:[71,72,73,74,75,76,77,78,79,80],reward12:[81,82,83],reward15:[84,85,86],reward37:[87,88,89],reward38:[90,91,92],reward4:[93,94,95],reward44:[96,97,98],reward49:[99,100,101],reward7:[102,103,104]
Formulation_explanation:The formula is set up to maximize the demand satisfaction rate by allocating vehicles from supply regions to demand regions. It considers the allocation of vehicles with different states of charge (SOC) from supply nodes to demand nodes. The expression aggregates the number of vehicles allocated to meet the demand across all demand regions and SOC levels, thereby improving demand satisfaction. The focus is on maximizing vehicle allocations, which directly correlates with satisfying demand. This approach ensures that more vehicles are directed towards meeting demand in various regions, thereby improving the overall satisfaction rate.
temp_text:model.setObjective(gp.quicksum(model.getVarByName(f'cluster{i}_cluster{j}_2') for i in S for j in D), GRB.MAXIMIZE)
LEO_optimize_time:8.780831098556519
LEO_result:[2926.8679207748355, -275.0]
base_optimize_time:10.42682695388794
base_result:[2926.8679207748355, -272.0]
Optimization gap 1: 0.00%
Optimization gap 2: 1.10%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = -0.0
cluster0_cluster15_2 = -0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = -0.0
cluster0_cluster37_2 = -0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 2.0
cluster0_cluster38_2 = 0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = 0.0
cluster0_cluster44_2 = 0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = -0.0
cluster0_cluster49_2 = 0.0
cluster1_cluster4_0 = -0.0
cluster1_cluster4_1 = 3.0
cluster1_cluster4_2 = 5.0
cluster1_cluster7_0 = -0.0
cluster1_cluster7_1 = 3.0
cluster1_cluster7_2 = 2.0
cluster1_cluster12_0 = -0.0
cluster1_cluster12_1 = 10.0
cluster1_cluster12_2 = -0.0
cluster1_cluster15_0 = -0.0
cluster1_cluster15_1 = 0.0
cluster1_cluster15_2 = 0.0
cluster1_cluster37_0 = 0.0
cluster1_cluster37_1 = 0.0
cluster1_cluster37_2 = 6.0
cluster1_cluster38_0 = 0.0
cluster1_cluster38_1 = 0.0
cluster1_cluster38_2 = 0.0
cluster1_cluster44_0 = 0.0
cluster1_cluster44_1 = 1.0
cluster1_cluster44_2 = -0.0
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = 5.0
cluster1_cluster49_2 = -0.0
cluster2_cluster4_0 = 0.0
cluster2_cluster4_1 = 10.0
cluster2_cluster4_2 = -0.0
cluster2_cluster7_0 = 0.0
cluster2_cluster7_1 = 30.0
cluster2_cluster7_2 = 81.0
cluster2_cluster12_0 = 0.0
cluster2_cluster12_1 = 13.0
