selected_num:8
selected decision variable:cluster0:[1,2,...,27],cluster1:[1,2,...,27],...,reward12:[1],reward15:[1],reward37:[1],reward38:[1],reward4:[1],reward44:[1],reward49:[1],reward7:[1]
Formulation_explanation:The meaning of the formula is to improve user satisfaction by prioritizing vehicles with higher states of charge (SOC), as they are more likely to meet user demands effectively. By multiplying the allocation variable by the SOC level, the objective function ensures that allocations with higher charge levels are given more weight, thereby improving user satisfaction. The formula sums these weighted allocations across all supply and demand regions for all charge levels.
temp_text:model.setObjective(gp.quicksum((k+1) * model.getVarByName(f'cluster{i}_cluster{j}_{k}') for i in S for j in D for k in K), GRB.MAXIMIZE)
LEO_optimize_time:261.82953238487244
LEO_result:[2880.3717803123895, -1589.0]
base_optimize_time:345.4254689216614
base_result:[2885.478194143031, -1523.0]
Optimization gap 1: 0.18%
Optimization gap 2: 4.33%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = -0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = -0.0
cluster0_cluster7_2 = -0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = -0.0
cluster0_cluster12_2 = -0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 1.0
cluster0_cluster15_2 = -0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = 0.0
cluster0_cluster37_2 = -0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 2.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = -0.0
cluster0_cluster44_2 = 0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = 0.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = -0.0
cluster1_cluster4_1 = 3.0
cluster1_cluster4_2 = 0.0
cluster1_cluster7_0 = -0.0
cluster1_cluster7_1 = 3.0
cluster1_cluster7_2 = 4.0
cluster1_cluster12_0 = -0.0
cluster1_cluster12_1 = 12.0
cluster1_cluster12_2 = 2.0
cluster1_cluster15_0 = -0.0
cluster1_cluster15_1 = -0.0
cluster1_cluster15_2 = -0.0
cluster1_cluster37_0 = -0.0
cluster1_cluster37_1 = 0.0
cluster1_cluster37_2 = 4.0
cluster1_cluster38_0 = -0.0
cluster1_cluster38_1 = 3.0
cluster1_cluster38_2 = -0.0
cluster1_cluster44_0 = -0.0
cluster1_cluster44_1 = 3.0
cluster1_cluster44_2 = 0.0
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = 0.0
cluster1_cluster49_2 = 5.0
cluster2_cluster4_0 = 0.0
cluster2_cluster4_1 = 0.0
cluster2_cluster4_2 = 18.0
cluster2_cluster7_0 = 0.0
cluster2_cluster7_1 = 30.0
cluster2_cluster7_2 = 81.0
cluster2_cluster12_0 = 0.0
cluster2_cluster12_1 = 13.0
cluster2_cluster12_2 = 102.0
cluster2_cluster15_0 = 0.0
cluster2_cluster15_1 = 4.0
cluster2_cluster15_2 = -0.0
cluster2_cluster37_0 = 0.0
cluster2_cluster37_1 = -0.0
cluster2_cluster37_2 = -0.0
cluster2_cluster38_0 = 0.0
cluster2_cluster38_1 = 0.0
cluster2_cluster38_2 = 61.0
cluster2_cluster44_0 = 0.0
cluster2_cluster44_1 = -0.0
cluster2_cluster44_2 = 3.0
cluster2_cluster49_0 = 0.0
cluster2_cluster49_1 = 17.0
cluster2_cluster49_2 = -0.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = 0.0
cluster3_cluster4_2 = 1.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = -0.0
cluster3_cluster7_2 = -0.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = -0.0
cluster3_cluster12_2 = 0.0
cluster3_cluster15_0 = 0.0
cluster3_cluster15_1 = 1.0
cluster3_cluster15_2 = 0.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = 0.0
cluster3_cluster37_2 = -0.0
cluster3_cluster38_0 = 0.0
cluster3_cluster38_1 = 1.0
cluster3_cluster38_2 = -0.0
