selected_num:38
selected decision variable:cluster0:[1,2,3,4,5,6,7,8,9,10],cluster1:[1,2,3,4,5,6,7,8,9,10],reward12:[1,2,3],reward15:[1,2,3],reward4:[1,2,3],reward44:[1,2,3],reward49:[1,2,3],reward7:[1,2,3]
Formulation_explanation:The objective function is designed to improve the service level of vehicles by maximizing the allocation of vehicles with higher states of charge (SOC) to demand regions. By prioritizing higher SOC levels, the formula promotes the availability of vehicles that can travel longer distances without needing a recharge, thereby enhancing service reliability and efficiency. The objective is to maximize the sum of the products of the SOC level and the number of vehicles allocated from supply nodes to demand regions. This approach ensures that the allocation strategy favors vehicles with higher charge, indirectly improving the service level by ensuring better availability of well-charged vehicles in demand regions.
temp_text:model.setObjective(gp.quicksum((k+1) * model.getVarByName(f'cluster{i}_cluster{j}_{k}') for i in S for j in D for k in K), GRB.MAXIMIZE)
LEO_optimize_time:96.23670291900635
LEO_result:[2875.0379902861378, -1517.0]
base_optimize_time:269.6811761856079
base_result:[2885.478194143031, -1523.0]
Optimization gap 1: 0.36%
Optimization gap 2: 0.39%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 1.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = -0.0
cluster0_cluster15_2 = -0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = 0.0
cluster0_cluster37_2 = -0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 2.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = -0.0
cluster0_cluster44_2 = -0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = -0.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = 0.0
cluster1_cluster4_1 = 3.0
cluster1_cluster4_2 = 5.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 2.0
cluster1_cluster7_2 = 4.0
