selected_num:91
selected decision variable:cluster0:[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43],cluster1:[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],cluster2:[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],cluster3:[1,2,3,4,5,6,7,8,9,10,11,12,13],cluster4:[1,2,3,4,5,6,7,8,9],cluster5:[1,2,3,4,5,6,7,8],cluster6:[1,2,3,4],cluster7:[1],reward4:[4],reward7:[7],reward12:[12],reward15:[15],reward37:[37],reward38:[38],reward44:[44],reward49:[49]
Formulation_explanation:The objective function aims to improve the average passenger capacity of vehicles by maximizing the allocation of vehicles with a higher state of charge (SOC) from supply regions to demand regions. The formula considers the sum of products of the charge level (k+1) and the decision variable representing the allocation of vehicles from supply node i to demand node j with charge level k. This setup encourages the allocation of vehicles with higher SOC, thus potentially improving passenger capacity and service level. It takes into account the charge level to prioritize allocations that can serve longer trips or more passengers efficiently.
temp_text:model.setObjective(gp.quicksum((k+1) * model.getVarByName(f'cluster{i}_cluster{j}_{k}') - theta * w[i][j] * model.getVarByName(f'cluster{i}_cluster{j}_{k}') for i in S for j in D for k in K), GRB.MAXIMIZE)
LEO_optimize_time:2.2940962314605713
LEO_result:[2796.373144420971, -186.3595157480213]
base_optimize_time:158.12716913223267
base_result:[2898.77774202705, -241.46001893329833]
Optimization gap 1: 3.53%
Optimization gap 2: 22.82%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 1.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = 0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = 0.0
cluster0_cluster37_2 = 0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 2.0
cluster0_cluster38_2 = 0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = 0.0
cluster0_cluster44_2 = 0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = 0.0
cluster0_cluster49_2 = 0.0
cluster1_cluster4_0 = 0.0
cluster1_cluster4_1 = 3.0
cluster1_cluster4_2 = 0.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 1.0
cluster1_cluster7_2 = 5.0
cluster1_cluster12_0 = 0.0
cluster1_cluster12_1 = 12.0
cluster1_cluster12_2 = 3.0
cluster1_cluster15_0 = 0.0
cluster1_cluster15_1 = 0.0
cluster1_cluster15_2 = 2.0
cluster1_cluster37_0 = 0.0
cluster1_cluster37_1 = 0.0
cluster1_cluster37_2 = 6.0
cluster1_cluster38_0 = 0.0
cluster1_cluster38_1 = 3.0
cluster1_cluster38_2 = 2.0
cluster1_cluster44_0 = 0.0
cluster1_cluster44_1 = 0.0
cluster1_cluster44_2 = 0.0
cluster1_cluster49_0 = 0.0
cluster1_cluster49_1 = 1.0
cluster1_cluster49_2 = 0.0
cluster2_cluster4_0 = 0.0
cluster2_cluster4_1 = 2.0
cluster2_cluster4_2 = 0.0
cluster2_cluster7_0 = 0.0
cluster2_cluster7_1 = 31.0
cluster2_cluster7_2 = 49.0
cluster2_cluster12_0 = 0.0
cluster2_cluster12_1 = 24.0
cluster2_cluster12_2 = 25.0
cluster2_cluster15_0 = 0.0
cluster2_cluster15_1 = 19.0
cluster2_cluster15_2 = 0.0
cluster2_cluster37_0 = 0.0
cluster2_cluster37_1 = 2.0
cluster2_cluster37_2 = 0.0
cluster2_cluster38_0 = 0.0
cluster2_cluster38_1 = 19.0
cluster2_cluster38_2 = 54.0
cluster2_cluster44_0 = 0.0
cluster2_cluster44_1 = 8.0
cluster2_cluster44_2 = 5.0
cluster2_cluster49_0 = 0.0
cluster2_cluster49_1 = 15.0
cluster2_cluster49_2 = 0.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = 0.0
cluster3_cluster4_2 = 0.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = 0.0
cluster3_cluster7_2 = 0.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = 0.0
cluster3_cluster12_2 = 0.0
cluster3_cluster15_0 = 0.0
cluster3_cluster15_1 = 0.0
cluster3_cluster15_2 = 0.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = 0.0
cluster3_cluster37_2 = 0.0
cluster3_cluster38_0 = 0.0
cluster3_cluster38_1 = 0.0
cluster3_cluster38_2 = 0.0
cluster3_cluster44_0 = 1.0
cluster3_cluster44_1 = 1.0
cluster3_cluster44_2 = 0.0
cluster3_cluster49_0 = 0.0
cluster3_cluster49_1 = 0.0
cluster3_cluster49_2 = 2.0
cluster5_cluster4_0 = 0.0
cluster5_cluster4_1 = 0.0
cluster5_cluster4_2 = 0.0
cluster5_cluster7_0 = 0.0
cluster5_cluster7_1 = 1.0
cluster5_cluster7_2 = 2.0
cluster5_cluster12_0 = 0.0
cluster5_cluster12_1 = 0.0
cluster5_cluster12_2 = -0.0
cluster5_cluster15_0 = 4.0
cluster5_cluster15_1 = 8.0
cluster5_cluster15_2 = 0.0
cluster5_cluster37_0 = 0.0
cluster5_cluster37_1 = 1.0
cluster5_cluster37_2 = 0.0
cluster5_cluster38_0 = 0.0
cluster5_cluster38_1 = 0.0
cluster5_cluster38_2 = 3.0
cluster5_cluster44_0 = 0.0
cluster5_cluster44_1 = -0.0
cluster5_cluster44_2 = 0.0
cluster5_cluster49_0 = -0.0
cluster5_cluster49_1 = 0.0
cluster5_cluster49_2 = 1.0
cluster6_cluster4_0 = 0.0
cluster6_cluster4_1 = 0.0
cluster6_cluster4_2 = 0.0
cluster6_cluster7_0 = 0.0
cluster6_cluster7_1 = -0.0
cluster6_cluster7_2 = 3.0
cluster6_cluster12_0 = -0.0
cluster6_cluster12_1 = -0.0
cluster6_cluster12_2 = 0.0
cluster6_cluster15_0 = -0.0
cluster6_cluster15_1 = -0.0
cluster6_cluster15_2 = 0.0
cluster6_cluster37_0 = -0.0
cluster6_cluster37_1 = 0.0
cluster6_cluster37_2 = 0.0
cluster6_cluster38_0 = -0.0
cluster6_cluster38_1 = -0.0
cluster6_cluster38_2 = 0.0
cluster6_cluster44_0 = 2.0
cluster6_cluster44_1 = 5.0
cluster6_cluster44_2 = 0.0
cluster6_cluster49_0 = -0.0
cluster6_cluster49_1 = 0.0
cluster6_cluster49_2 = 0.0
cluster8_cluster4_0 = 0.0
cluster8_cluster4_1 = 0.0
cluster8_cluster4_2 = -0.0
cluster8_cluster7_0 = 0.0
cluster8_cluster7_1 = 1.0
cluster8_cluster7_2 = -0.0
cluster8_cluster12_0 = 0.0
cluster8_cluster12_1 = 1.0
cluster8_cluster12_2 = -0.0
cluster8_cluster15_0 = 0.0
cluster8_cluster15_1 = 0.0
cluster8_cluster15_2 = 2.0
cluster8_cluster37_0 = 0.0
cluster8_cluster37_1 = 0.0
cluster8_cluster37_2 = 2.0
cluster8_cluster38_0 = 0.0
cluster8_cluster38_1 = 1.0
cluster8_cluster38_2 = -0.0
cluster8_cluster44_0 = 1.0
cluster8_cluster44_1 = 1.0
cluster8_cluster44_2 = 0.0
cluster8_cluster49_0 = 0.0
cluster8_cluster49_1 = -0.0
cluster8_cluster49_2 = -0.0
cluster9_cluster4_0 = 0.0
cluster9_cluster4_1 = 0.0
cluster9_cluster4_2 = 0.0
cluster9_cluster7_0 = 0.0
cluster9_cluster7_1 = 1.0
cluster9_cluster7_2 = 0.0
cluster9_cluster12_0 = 1.0
cluster9_cluster12_1 = 1.0
cluster9_cluster12_2 = 0.0
cluster9_cluster15_0 = 0.0
cluster9_cluster15_1 = 0.0
cluster9_cluster15_2 = 0.0
cluster9_cluster37_0 = 0.0
cluster9_cluster37_1 = 0.0
cluster9_cluster37_2 = 0.0
cluster9_cluster38_0 = 0.0
cluster9_cluster38_1 = 1.0
cluster9_cluster38_2 = 0.0
cluster9_cluster44_0 = 0.0
cluster9_cluster44_1 = 1.0
cluster9_cluster44_2 = 0.0
cluster9_cluster49_0 = 0.0
cluster9_cluster49_1 = 0.0
cluster9_cluster49_2 = -0.0
cluster10_cluster4_0 = 0.0
cluster10_cluster4_1 = 0.0
cluster10_cluster4_2 = 0.0
cluster10_cluster7_0 = 0.0
cluster10_cluster7_1 = 0.0
cluster10_cluster7_2 = 1.0
cluster10_cluster12_0 = 0.0
cluster10_cluster12_1 = 1.0
cluster10_cluster12_2 = 0.0
cluster10_cluster15_0 = 0.0
cluster10_cluster15_1 = 0.0
cluster10_cluster15_2 = 0.0
cluster10_cluster37_0 = 0.0
cluster10_cluster37_1 = 0.0
cluster10_cluster37_2 = 4.0
cluster10_cluster38_0 = 0.0
cluster10_cluster38_1 = 0.0
