selected_num:42
selected decision variable:cluster0:[2,3],cluster1:[2,3],cluster2:[2,3],cluster3:[2,3],cluster10:[2,3],cluster11:[2,3],cluster13:[2,3],cluster14:[2,3],cluster16:[2,3],cluster17:[2,3],cluster18:[2,3],cluster19:[2,3],cluster20:[2,3],reward12:[2,3],reward15:[2,3],reward37:[2,3],reward38:[2,3],reward4:[2,3],reward44:[2,3],reward49:[2,3],reward7:[2,3]
Formulation_explanation:The objective function is designed to improve the future service level of vehicles by maximizing the allocation of vehicles with higher states of charge (SOC) from supply nodes to demand nodes. This approach is taken because vehicles with higher SOC can serve longer trips and more customers, thereby enhancing service levels. The formula sums over all supply and demand nodes and all SOC levels, giving preference to allocations with a higher SOC by multiplying the decision variable by its SOC level. This is a linear function, ensuring convexity and adherence to the given constraints.
temp_text:model.setObjective(gp.quicksum(k * model.getVarByName(f'cluster{i}_cluster{j}_{k}') for i in S for j in D for k in K), GRB.MAXIMIZE)
LEO_optimize_time:29.288649082183838
LEO_result:[2878.4218267514607, -1024.0]
base_optimize_time:165.27480602264404
base_result:[2898.7777420945317, -1029.0]
Optimization gap 1: 0.70%
Optimization gap 2: 0.49%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = -0.0
cluster0_cluster7_2 = 0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = -0.0
cluster0_cluster12_2 = 1.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = -0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = -0.0
cluster0_cluster37_2 = -0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = -0.0
cluster0_cluster38_2 = -0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = 0.0
cluster0_cluster44_2 = 1.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = 0.0
cluster0_cluster49_2 = 0.0
cluster1_cluster4_0 = -0.0
cluster1_cluster4_1 = 3.0
cluster1_cluster4_2 = 0.0
cluster1_cluster7_0 = -0.0
cluster1_cluster7_1 = 4.0
cluster1_cluster7_2 = 5.0
cluster1_cluster12_0 = -0.0
cluster1_cluster12_1 = 12.0
cluster1_cluster12_2 = -0.0
cluster1_cluster15_0 = -0.0
cluster1_cluster15_1 = -0.0
cluster1_cluster15_2 = 2.0
cluster1_cluster37_0 = -0.0
cluster1_cluster37_1 = -0.0
cluster1_cluster37_2 = 6.0
cluster1_cluster38_0 = -0.0
cluster1_cluster38_1 = 7.0
cluster1_cluster38_2 = -0.0
cluster1_cluster44_0 = -0.0
cluster1_cluster44_1 = -0.0
cluster1_cluster44_2 = 6.0
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = -0.0
cluster1_cluster49_2 = 2.0
cluster2_cluster4_0 = 0.0
cluster2_cluster4_1 = 0.0
cluster2_cluster4_2 = 9.0
cluster2_cluster7_0 = 0.0
cluster2_cluster7_1 = 30.0
cluster2_cluster7_2 = 80.0
cluster2_cluster12_0 = 0.0
cluster2_cluster12_1 = 13.0
cluster2_cluster12_2 = 102.0
cluster2_cluster15_0 = 0.0
cluster2_cluster15_1 = 14.0
cluster2_cluster15_2 = -0.0
cluster2_cluster37_0 = 0.0
cluster2_cluster37_1 = -0.0
cluster2_cluster37_2 = -0.0
cluster2_cluster38_0 = 0.0
cluster2_cluster38_1 = -0.0
cluster2_cluster38_2 = 61.0
cluster2_cluster44_0 = 0.0
cluster2_cluster44_1 = 12.0
cluster2_cluster44_2 = 5.0
cluster2_cluster49_0 = 0.0
cluster2_cluster49_1 = 17.0
cluster2_cluster49_2 = 0.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = 0.0
cluster3_cluster4_2 = 0.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = -0.0
cluster3_cluster7_2 = -0.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = 0.0
cluster3_cluster12_2 = -0.0
cluster3_cluster15_0 = 0.0
cluster3_cluster15_1 = 1.0
cluster3_cluster15_2 = 0.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = 0.0
cluster3_cluster37_2 = -0.0
cluster3_cluster38_0 = 0.0
cluster3_cluster38_1 = 0.0
